"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 1999"	"1999/01"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 1999"	"1999/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 1999"	"1999/03"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 1999"	"1999/04"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 1999"	"1999/05"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 1999"	"1999/06"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 1999"	"1999/07"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 1999"	"1999/08"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 1999"	"1999/09"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 1999"	"1999/10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 1999"	"1999/11"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 1999"	"1999/12"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2000"	"2000/01"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2000"	"2000/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2000"	"2000/03"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2000"	"2000/04"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2000"	"2000/05"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2000"	"2000/06"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2000"	"2000/07"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2000"	"2000/08"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2000"	"2000/09"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2000"	"2000/10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2000"	"2000/11"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2000"	"2000/12"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2001"	"2001/01"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2001"	"2001/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2001"	"2001/03"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2001"	"2001/04"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2001"	"2001/05"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2001"	"2001/06"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2001"	"2001/07"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2001"	"2001/08"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2001"	"2001/09"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2001"	"2001/10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2001"	"2001/11"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2001"	"2001/12"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2002"	"2002/01"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2002"	"2002/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2002"	"2002/03"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2002"	"2002/04"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2002"	"2002/05"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2002"	"2002/06"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2002"	"2002/07"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2002"	"2002/08"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2002"	"2002/09"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2002"	"2002/10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2002"	"2002/11"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2002"	"2002/12"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2003"	"2003/01"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2003"	"2003/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2003"	"2003/03"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2003"	"2003/04"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2003"	"2003/05"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2003"	"2003/06"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2003"	"2003/07"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2003"	"2003/08"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2003"	"2003/09"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2003"	"2003/10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2003"	"2003/11"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2003"	"2003/12"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2004"	"2004/01"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2004"	"2004/02"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2004"	"2004/03"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2004"	"2004/04"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2004"	"2004/05"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2004"	"2004/06"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2004"	"2004/07"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2004"	"2004/08"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2004"	"2004/09"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2004"	"2004/10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2004"	"2004/11"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2004"	"2004/12"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2005"	"2005/01"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2005"	"2005/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2005"	"2005/03"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2005"	"2005/04"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2005"	"2005/05"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2005"	"2005/06"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2005"	"2005/07"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2005"	"2005/08"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2005"	"2005/09"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2005"	"2005/10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2005"	"2005/11"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2005"	"2005/12"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2006"	"2006/01"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2006"	"2006/02"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2006"	"2006/03"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2006"	"2006/04"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2006"	"2006/05"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2006"	"2006/06"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2006"	"2006/07"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2006"	"2006/08"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2006"	"2006/09"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2006"	"2006/10"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2006"	"2006/11"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2006"	"2006/12"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2007"	"2007/01"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2007"	"2007/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2007"	"2007/03"	14	Not Applicable	Not Applicable
