"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	26	4430141	0.6
	"Alabama"	"01"	"2000"	"2000"	18	4447100	Unreliable
	"Alabama"	"01"	"2001"	"2001"	33	4467634	0.7
	"Alabama"	"01"	"2002"	"2002"	32	4480089	0.7
	"Alabama"	"01"	"2003"	"2003"	26	4503491	0.6
	"Alabama"	"01"	"2004"	"2004"	55	4530729	1.2
	"Alabama"	"01"	"2005"	"2005"	39	4569805	0.9
	"Alabama"	"01"	"2006"	"2006"	60	4628981	1.3
	"Alabama"	"01"	"2007"	"2007"	38	4672840	0.8
	"Alabama"	"01"	"2008"	"2008"	57	4718206	1.2
	"Alabama"	"01"	"2009"	"2009"	41	4757938	0.9
	"Alabama"	"01"	"2010"	"2010"	32	4779736	0.7
	"Alabama"	"01"	"2011"	"2011"	29	4802740	0.6
	"Alabama"	"01"	"2012"	"2012"	23	4822023	0.5
	"Alabama"	"01"	"2013"	"2013"	39	4833722	0.8
	"Alabama"	"01"	"2014"	"2014"	44	4849377	0.9
	"Alabama"	"01"	"2015"	"2015"	44	4858979	0.9
	"Alabama"	"01"	"2016"	"2016"	91	4863300	1.9
	"Alabama"	"01"	"2017"	"2017"	126	4874747	2.6
	"Alabama"	"01"	"2018"	"2018"	98	4887871	2.0
	"Alabama"	"01"	"2019"	"2019"	109	4903185	2.2
	"Alaska"	"02"	"1999"	"1999"	13	624779	Unreliable
	"Alaska"	"02"	"2000"	"2000"	14	626932	Unreliable
	"Alaska"	"02"	"2001"	"2001"	Suppressed	633714	Suppressed
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"2003"	"2003"	10	648414	Unreliable
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"2005"	"2005"	11	666946	Unreliable
	"Alaska"	"02"	"2006"	"2006"	14	675302	Unreliable
	"Alaska"	"02"	"2007"	"2007"	11	680300	Unreliable
	"Alaska"	"02"	"2008"	"2008"	29	687455	4.2
	"Alaska"	"02"	"2009"	"2009"	28	698895	4.0
	"Alaska"	"02"	"2010"	"2010"	19	710231	Unreliable
	"Alaska"	"02"	"2011"	"2011"	13	722718	Unreliable
	"Alaska"	"02"	"2012"	"2012"	22	731449	3.0
	"Alaska"	"02"	"2013"	"2013"	13	735132	Unreliable
	"Alaska"	"02"	"2014"	"2014"	11	736732	Unreliable
	"Alaska"	"02"	"2015"	"2015"	12	738432	Unreliable
	"Alaska"	"02"	"2016"	"2016"	17	741894	Unreliable
	"Alaska"	"02"	"2017"	"2017"	18	739795	Unreliable
	"Alaska"	"02"	"2018"	"2018"	11	737438	Unreliable
	"Alaska"	"02"	"2019"	"2019"	14	731545	Unreliable
	"Arizona"	"04"	"1999"	"1999"	146	5023823	2.9
	"Arizona"	"04"	"2000"	"2000"	132	5130632	2.6
	"Arizona"	"04"	"2001"	"2001"	128	5273477	2.4
	"Arizona"	"04"	"2002"	"2002"	160	5396255	3.0
	"Arizona"	"04"	"2003"	"2003"	142	5510364	2.6
	"Arizona"	"04"	"2004"	"2004"	123	5652404	2.2
	"Arizona"	"04"	"2005"	"2005"	129	5839077	2.2
	"Arizona"	"04"	"2006"	"2006"	184	6029141	3.1
	"Arizona"	"04"	"2007"	"2007"	144	6167681	2.3
	"Arizona"	"04"	"2008"	"2008"	84	6280362	1.3
	"Arizona"	"04"	"2009"	"2009"	104	6343154	1.6
	"Arizona"	"04"	"2010"	"2010"	76	6392017	1.2
	"Arizona"	"04"	"2011"	"2011"	63	6482505	1.0
	"Arizona"	"04"	"2012"	"2012"	62	6553255	0.9
	"Arizona"	"04"	"2013"	"2013"	57	6626624	0.9
	"Arizona"	"04"	"2014"	"2014"	58	6731484	0.9
	"Arizona"	"04"	"2015"	"2015"	68	6828065	1.0
	"Arizona"	"04"	"2016"	"2016"	90	6931071	1.3
	"Arizona"	"04"	"2017"	"2017"	143	7016270	2.0
	"Arizona"	"04"	"2018"	"2018"	180	7171646	2.5
	"Arizona"	"04"	"2019"	"2019"	183	7278717	2.5
	"Arkansas"	"05"	"1999"	"1999"	10	2651860	Unreliable
	"Arkansas"	"05"	"2000"	"2000"	14	2673400	Unreliable
	"Arkansas"	"05"	"2001"	"2001"	12	2691571	Unreliable
	"Arkansas"	"05"	"2002"	"2002"	28	2705927	1.0
	"Arkansas"	"05"	"2003"	"2003"	30	2724816	1.1
	"Arkansas"	"05"	"2004"	"2004"	28	2749686	1.0
	"Arkansas"	"05"	"2005"	"2005"	40	2781097	1.4
	"Arkansas"	"05"	"2006"	"2006"	44	2821761	1.6
	"Arkansas"	"05"	"2007"	"2007"	35	2848650	1.2
	"Arkansas"	"05"	"2008"	"2008"	29	2874554	1.0
	"Arkansas"	"05"	"2009"	"2009"	29	2896843	1.0
	"Arkansas"	"05"	"2010"	"2010"	21	2915918	0.7
	"Arkansas"	"05"	"2011"	"2011"	16	2937979	Unreliable
	"Arkansas"	"05"	"2012"	"2012"	17	2949131	Unreliable
	"Arkansas"	"05"	"2013"	"2013"	15	2959373	Unreliable
	"Arkansas"	"05"	"2014"	"2014"	10	2966369	Unreliable
	"Arkansas"	"05"	"2015"	"2015"	18	2978204	Unreliable
	"Arkansas"	"05"	"2016"	"2016"	12	2988248	Unreliable
	"Arkansas"	"05"	"2017"	"2017"	27	3004279	0.9
	"Arkansas"	"05"	"2018"	"2018"	28	3013825	0.9
	"Arkansas"	"05"	"2019"	"2019"	31	3017804	1.0
	"California"	"06"	"1999"	"1999"	506	33499204	1.5
	"California"	"06"	"2000"	"2000"	384	33871648	1.1
	"California"	"06"	"2001"	"2001"	246	34479458	0.7
	"California"	"06"	"2002"	"2002"	531	34871843	1.5
	"California"	"06"	"2003"	"2003"	531	35253159	1.5
	"California"	"06"	"2004"	"2004"	478	35574576	1.3
	"California"	"06"	"2005"	"2005"	546	35827943	1.5
	"California"	"06"	"2006"	"2006"	558	36021202	1.5
	"California"	"06"	"2007"	"2007"	534	36250311	1.5
	"California"	"06"	"2008"	"2008"	401	36604337	1.1
	"California"	"06"	"2009"	"2009"	378	36961229	1.0
	"California"	"06"	"2010"	"2010"	306	37253956	0.8
	"California"	"06"	"2011"	"2011"	312	37691912	0.8
	"California"	"06"	"2012"	"2012"	267	38041430	0.7
	"California"	"06"	"2013"	"2013"	302	38332521	0.8
	"California"	"06"	"2014"	"2014"	340	38802500	0.9
	"California"	"06"	"2015"	"2015"	364	39144818	0.9
	"California"	"06"	"2016"	"2016"	457	39250017	1.2
	"California"	"06"	"2017"	"2017"	514	39536653	1.3
	"California"	"06"	"2018"	"2018"	681	39557045	1.7
	"California"	"06"	"2019"	"2019"	955	39512223	2.4
	"Colorado"	"08"	"1999"	"1999"	111	4226018	2.6
	"Colorado"	"08"	"2000"	"2000"	94	4301261	2.2
	"Colorado"	"08"	"2001"	"2001"	107	4425687	2.4
	"Colorado"	"08"	"2002"	"2002"	126	4490406	2.8
	"Colorado"	"08"	"2003"	"2003"	152	4528732	3.4
	"Colorado"	"08"	"2004"	"2004"	143	4575013	3.1
	"Colorado"	"08"	"2005"	"2005"	170	4631888	3.7
	"Colorado"	"08"	"2006"	"2006"	193	4720423	4.1
	"Colorado"	"08"	"2007"	"2007"	158	4803868	3.3
	"Colorado"	"08"	"2008"	"2008"	131	4889730	2.7
	"Colorado"	"08"	"2009"	"2009"	102	4972195	2.1
	"Colorado"	"08"	"2010"	"2010"	77	5029196	1.5
	"Colorado"	"08"	"2011"	"2011"	98	5116796	1.9
	"Colorado"	"08"	"2012"	"2012"	70	5187582	1.3
	"Colorado"	"08"	"2013"	"2013"	64	5268367	1.2
	"Colorado"	"08"	"2014"	"2014"	85	5355866	1.6
	"Colorado"	"08"	"2015"	"2015"	72	5456574	1.3
	"Colorado"	"08"	"2016"	"2016"	120	5540545	2.2
	"Colorado"	"08"	"2017"	"2017"	109	5607154	1.9
	"Colorado"	"08"	"2018"	"2018"	150	5695564	2.6
	"Colorado"	"08"	"2019"	"2019"	155	5758736	2.7
	"Connecticut"	"09"	"1999"	"1999"	88	3386401	2.6
	"Connecticut"	"09"	"2000"	"2000"	50	3405565	1.5
	"Connecticut"	"09"	"2001"	"2001"	60	3432835	1.7
	"Connecticut"	"09"	"2002"	"2002"	63	3458749	1.8
	"Connecticut"	"09"	"2003"	"2003"	68	3484336	2.0
	"Connecticut"	"09"	"2004"	"2004"	61	3496094	1.7
	"Connecticut"	"09"	"2005"	"2005"	85	3506956	2.4
	"Connecticut"	"09"	"2006"	"2006"	113	3517460	3.2
	"Connecticut"	"09"	"2007"	"2007"	98	3527270	2.8
	"Connecticut"	"09"	"2008"	"2008"	74	3545579	2.1
	"Connecticut"	"09"	"2009"	"2009"	64	3561807	1.8
	"Connecticut"	"09"	"2010"	"2010"	55	3574097	1.5
	"Connecticut"	"09"	"2011"	"2011"	80	3580709	2.2
	"Connecticut"	"09"	"2012"	"2012"	74	3590347	2.1
	"Connecticut"	"09"	"2013"	"2013"	147	3596080	4.1
	"Connecticut"	"09"	"2014"	"2014"	124	3596677	3.4
	"Connecticut"	"09"	"2015"	"2015"	171	3590886	4.8
	"Connecticut"	"09"	"2016"	"2016"	245	3576452	6.9
	"Connecticut"	"09"	"2017"	"2017"	295	3588184	8.2
	"Connecticut"	"09"	"2018"	"2018"	316	3572665	8.8
	"Connecticut"	"09"	"2019"	"2019"	382	3565287	10.7
	"Delaware"	"10"	"1999"	"1999"	13	774990	Unreliable
	"Delaware"	"10"	"2000"	"2000"	14	783600	Unreliable
	"Delaware"	"10"	"2001"	"2001"	16	795699	Unreliable
	"Delaware"	"10"	"2002"	"2002"	27	806169	3.3
	"Delaware"	"10"	"2003"	"2003"	14	818003	Unreliable
	"Delaware"	"10"	"2004"	"2004"	18	830803	Unreliable
	"Delaware"	"10"	"2005"	"2005"	12	845150	Unreliable
	"Delaware"	"10"	"2006"	"2006"	19	859268	Unreliable
	"Delaware"	"10"	"2007"	"2007"	14	871749	Unreliable
	"Delaware"	"10"	"2008"	"2008"	15	883874	Unreliable
	"Delaware"	"10"	"2009"	"2009"	21	891730	2.4
	"Delaware"	"10"	"2010"	"2010"	27	897934	3.0
	"Delaware"	"10"	"2011"	"2011"	15	907135	Unreliable
	"Delaware"	"10"	"2012"	"2012"	26	917092	2.8
	"Delaware"	"10"	"2013"	"2013"	20	925749	2.2
	"Delaware"	"10"	"2014"	"2014"	21	935614	2.2
	"Delaware"	"10"	"2015"	"2015"	26	945934	2.7
	"Delaware"	"10"	"2016"	"2016"	58	952065	6.1
	"Delaware"	"10"	"2017"	"2017"	112	961939	11.6
	"Delaware"	"10"	"2018"	"2018"	142	967171	14.7
	"Delaware"	"10"	"2019"	"2019"	171	973764	17.6
	"District of Columbia"	"11"	"1999"	"1999"	29	570213	5.1
	"District of Columbia"	"11"	"2000"	"2000"	43	572059	7.5
	"District of Columbia"	"11"	"2001"	"2001"	56	574504	9.7
	"District of Columbia"	"11"	"2002"	"2002"	37	573158	6.5
	"District of Columbia"	"11"	"2003"	"2003"	59	568502	10.4
	"District of Columbia"	"11"	"2004"	"2004"	44	567754	7.7
	"District of Columbia"	"11"	"2005"	"2005"	40	567136	7.1
	"District of Columbia"	"11"	"2006"	"2006"	59	570681	10.3
	"District of Columbia"	"11"	"2007"	"2007"	33	574404	5.7
	"District of Columbia"	"11"	"2008"	"2008"	35	580236	6.0
	"District of Columbia"	"11"	"2009"	"2009"	10	592228	Unreliable
	"District of Columbia"	"11"	"2010"	"2010"	42	601723	7.0
	"District of Columbia"	"11"	"2011"	"2011"	35	617996	5.7
	"District of Columbia"	"11"	"2012"	"2012"	31	632323	4.9
	"District of Columbia"	"11"	"2013"	"2013"	33	646449	5.1
	"District of Columbia"	"11"	"2014"	"2014"	36	658893	5.5
	"District of Columbia"	"11"	"2015"	"2015"	35	672228	5.2
	"District of Columbia"	"11"	"2016"	"2016"	91	681170	13.4
	"District of Columbia"	"11"	"2017"	"2017"	127	693972	18.3
	"District of Columbia"	"11"	"2018"	"2018"	106	702455	15.1
	"District of Columbia"	"11"	"2019"	"2019"	130	705749	18.4
	"Florida"	"12"	"1999"	"1999"	229	15759421	1.5
	"Florida"	"12"	"2000"	"2000"	233	15982378	1.5
	"Florida"	"12"	"2001"	"2001"	375	16356966	2.3
	"Florida"	"12"	"2002"	"2002"	400	16689370	2.4
	"Florida"	"12"	"2003"	"2003"	507	17004085	3.0
	"Florida"	"12"	"2004"	"2004"	540	17415318	3.1
	"Florida"	"12"	"2005"	"2005"	662	17842038	3.7
	"Florida"	"12"	"2006"	"2006"	675	18166990	3.7
	"Florida"	"12"	"2007"	"2007"	676	18367842	3.7
	"Florida"	"12"	"2008"	"2008"	482	18527305	2.6
	"Florida"	"12"	"2009"	"2009"	372	18652644	2.0
	"Florida"	"12"	"2010"	"2010"	379	18801310	2.0
	"Florida"	"12"	"2011"	"2011"	439	19057542	2.3
	"Florida"	"12"	"2012"	"2012"	379	19317568	2.0
	"Florida"	"12"	"2013"	"2013"	405	19552860	2.1
	"Florida"	"12"	"2014"	"2014"	459	19893297	2.3
	"Florida"	"12"	"2015"	"2015"	605	20271272	3.0
	"Florida"	"12"	"2016"	"2016"	1108	20612439	5.4
	"Florida"	"12"	"2017"	"2017"	1413	20984400	6.7
	"Florida"	"12"	"2018"	"2018"	1316	21299325	6.2
	"Florida"	"12"	"2019"	"2019"	1500	21477737	7.0
	"Georgia"	"13"	"1999"	"1999"	83	8045965	1.0
	"Georgia"	"13"	"2000"	"2000"	118	8186453	1.4
	"Georgia"	"13"	"2001"	"2001"	126	8377038	1.5
	"Georgia"	"13"	"2002"	"2002"	125	8508256	1.5
	"Georgia"	"13"	"2003"	"2003"	146	8622793	1.7
	"Georgia"	"13"	"2004"	"2004"	163	8769252	1.9
	"Georgia"	"13"	"2005"	"2005"	171	8925922	1.9
	"Georgia"	"13"	"2006"	"2006"	197	9155813	2.2
	"Georgia"	"13"	"2007"	"2007"	192	9349988	2.1
	"Georgia"	"13"	"2008"	"2008"	140	9504843	1.5
	"Georgia"	"13"	"2009"	"2009"	148	9620846	1.5
	"Georgia"	"13"	"2010"	"2010"	122	9687653	1.3
	"Georgia"	"13"	"2011"	"2011"	111	9815210	1.1
	"Georgia"	"13"	"2012"	"2012"	116	9919945	1.2
	"Georgia"	"13"	"2013"	"2013"	127	9992167	1.3
	"Georgia"	"13"	"2014"	"2014"	156	10097343	1.5
	"Georgia"	"13"	"2015"	"2015"	171	10214860	1.7
	"Georgia"	"13"	"2016"	"2016"	221	10310371	2.1
	"Georgia"	"13"	"2017"	"2017"	281	10429379	2.7
	"Georgia"	"13"	"2018"	"2018"	313	10519475	3.0
	"Georgia"	"13"	"2019"	"2019"	325	10617423	3.1
	"Hawaii"	"15"	"1999"	"1999"	15	1210300	Unreliable
	"Hawaii"	"15"	"2000"	"2000"	Suppressed	1211537	Suppressed
	"Hawaii"	"15"	"2001"	"2001"	12	1225948	Unreliable
	"Hawaii"	"15"	"2002"	"2002"	13	1239613	Unreliable
	"Hawaii"	"15"	"2003"	"2003"	17	1251154	Unreliable
	"Hawaii"	"15"	"2004"	"2004"	14	1273569	Unreliable
	"Hawaii"	"15"	"2005"	"2005"	Suppressed	1292729	Suppressed
	"Hawaii"	"15"	"2006"	"2006"	13	1309731	Unreliable
	"Hawaii"	"15"	"2007"	"2007"	16	1315675	Unreliable
	"Hawaii"	"15"	"2008"	"2008"	11	1332213	Unreliable
	"Hawaii"	"15"	"2009"	"2009"	15	1346717	Unreliable
	"Hawaii"	"15"	"2010"	"2010"	11	1360301	Unreliable
	"Hawaii"	"15"	"2011"	"2011"	10	1374810	Unreliable
	"Hawaii"	"15"	"2012"	"2012"	Suppressed	1392313	Suppressed
	"Hawaii"	"15"	"2013"	"2013"	10	1404054	Unreliable
	"Hawaii"	"15"	"2014"	"2014"	Suppressed	1419561	Suppressed
	"Hawaii"	"15"	"2015"	"2015"	Suppressed	1431603	Suppressed
	"Hawaii"	"15"	"2016"	"2016"	Suppressed	1428557	Suppressed
	"Hawaii"	"15"	"2017"	"2017"	11	1427538	Unreliable
	"Hawaii"	"15"	"2018"	"2018"	14	1420491	Unreliable
	"Hawaii"	"15"	"2019"	"2019"	14	1415872	Unreliable
	"Idaho"	"16"	"1999"	"1999"	Suppressed	1275674	Suppressed
	"Idaho"	"16"	"2000"	"2000"	Suppressed	1293953	Suppressed
	"Idaho"	"16"	"2001"	"2001"	Suppressed	1319962	Suppressed
	"Idaho"	"16"	"2002"	"2002"	Suppressed	1340372	Suppressed
	"Idaho"	"16"	"2003"	"2003"	Suppressed	1363380	Suppressed
	"Idaho"	"16"	"2004"	"2004"	Suppressed	1391802	Suppressed
	"Idaho"	"16"	"2005"	"2005"	Suppressed	1428241	Suppressed
	"Idaho"	"16"	"2006"	"2006"	Suppressed	1468669	Suppressed
	"Idaho"	"16"	"2007"	"2007"	Suppressed	1505105	Suppressed
	"Idaho"	"16"	"2008"	"2008"	Suppressed	1534320	Suppressed
	"Idaho"	"16"	"2009"	"2009"	Suppressed	1554439	Suppressed
	"Idaho"	"16"	"2010"	"2010"	Suppressed	1567582	Suppressed
	"Idaho"	"16"	"2011"	"2011"	Suppressed	1584985	Suppressed
	"Idaho"	"16"	"2012"	"2012"	Suppressed	1595728	Suppressed
	"Idaho"	"16"	"2013"	"2013"	Suppressed	1612136	Suppressed
	"Idaho"	"16"	"2014"	"2014"	Suppressed	1634464	Suppressed
	"Idaho"	"16"	"2015"	"2015"	Suppressed	1654930	Suppressed
	"Idaho"	"16"	"2016"	"2016"	Suppressed	1683140	Suppressed
	"Idaho"	"16"	"2017"	"2017"	Suppressed	1716943	Suppressed
	"Idaho"	"16"	"2018"	"2018"	Suppressed	1754208	Suppressed
	"Idaho"	"16"	"2019"	"2019"	Suppressed	1787065	Suppressed
	"Illinois"	"17"	"1999"	"1999"	499	12359020	4.0
	"Illinois"	"17"	"2000"	"2000"	434	12419293	3.5
	"Illinois"	"17"	"2001"	"2001"	455	12488445	3.6
	"Illinois"	"17"	"2002"	"2002"	473	12525556	3.8
	"Illinois"	"17"	"2003"	"2003"	439	12556006	3.5
	"Illinois"	"17"	"2004"	"2004"	554	12589773	4.4
	"Illinois"	"17"	"2005"	"2005"	559	12609903	4.4
	"Illinois"	"17"	"2006"	"2006"	676	12643955	5.3
	"Illinois"	"17"	"2007"	"2007"	544	12695866	4.3
	"Illinois"	"17"	"2008"	"2008"	468	12747038	3.7
	"Illinois"	"17"	"2009"	"2009"	419	12796778	3.3
	"Illinois"	"17"	"2010"	"2010"	370	12830632	2.9
	"Illinois"	"17"	"2011"	"2011"	372	12869257	2.9
	"Illinois"	"17"	"2012"	"2012"	415	12875255	3.2
	"Illinois"	"17"	"2013"	"2013"	341	12882135	2.6
	"Illinois"	"17"	"2014"	"2014"	323	12880580	2.5
	"Illinois"	"17"	"2015"	"2015"	361	12859995	2.8
	"Illinois"	"17"	"2016"	"2016"	548	12801539	4.3
	"Illinois"	"17"	"2017"	"2017"	795	12802023	6.2
	"Illinois"	"17"	"2018"	"2018"	822	12741080	6.5
	"Illinois"	"17"	"2019"	"2019"	923	12671821	7.3
	"Indiana"	"18"	"1999"	"1999"	31	6044969	0.5
	"Indiana"	"18"	"2000"	"2000"	23	6080485	0.4
	"Indiana"	"18"	"2001"	"2001"	32	6127760	0.5
	"Indiana"	"18"	"2002"	"2002"	37	6155967	0.6
	"Indiana"	"18"	"2003"	"2003"	51	6196638	0.8
	"Indiana"	"18"	"2004"	"2004"	65	6233007	1.0
	"Indiana"	"18"	"2005"	"2005"	60	6278616	1.0
	"Indiana"	"18"	"2006"	"2006"	69	6332669	1.1
	"Indiana"	"18"	"2007"	"2007"	68	6379599	1.1
	"Indiana"	"18"	"2008"	"2008"	58	6424806	0.9
	"Indiana"	"18"	"2009"	"2009"	50	6459325	0.8
	"Indiana"	"18"	"2010"	"2010"	49	6483802	0.8
	"Indiana"	"18"	"2011"	"2011"	41	6516922	0.6
	"Indiana"	"18"	"2012"	"2012"	44	6537334	0.7
	"Indiana"	"18"	"2013"	"2013"	54	6570902	0.8
	"Indiana"	"18"	"2014"	"2014"	60	6596855	0.9
	"Indiana"	"18"	"2015"	"2015"	72	6619680	1.1
	"Indiana"	"18"	"2016"	"2016"	121	6633053	1.8
	"Indiana"	"18"	"2017"	"2017"	265	6666818	4.0
	"Indiana"	"18"	"2018"	"2018"	270	6691878	4.0
	"Indiana"	"18"	"2019"	"2019"	296	6732219	4.4
	"Iowa"	"19"	"1999"	"1999"	Suppressed	2917634	Suppressed
	"Iowa"	"19"	"2000"	"2000"	12	2926324	Unreliable
	"Iowa"	"19"	"2001"	"2001"	Suppressed	2931997	Suppressed
	"Iowa"	"19"	"2002"	"2002"	14	2934234	Unreliable
	"Iowa"	"19"	"2003"	"2003"	14	2941999	Unreliable
	"Iowa"	"19"	"2004"	"2004"	17	2953635	Unreliable
	"Iowa"	"19"	"2005"	"2005"	21	2964454	0.7
	"Iowa"	"19"	"2006"	"2006"	23	2982644	0.8
	"Iowa"	"19"	"2007"	"2007"	23	2999212	0.8
	"Iowa"	"19"	"2008"	"2008"	19	3016734	Unreliable
	"Iowa"	"19"	"2009"	"2009"	22	3032870	0.7
	"Iowa"	"19"	"2010"	"2010"	31	3046355	1.0
	"Iowa"	"19"	"2011"	"2011"	Suppressed	3062309	Suppressed
	"Iowa"	"19"	"2012"	"2012"	14	3074186	Unreliable
	"Iowa"	"19"	"2013"	"2013"	17	3090416	Unreliable
	"Iowa"	"19"	"2014"	"2014"	19	3107126	Unreliable
	"Iowa"	"19"	"2015"	"2015"	19	3123899	Unreliable
	"Iowa"	"19"	"2016"	"2016"	20	3134693	0.6
