"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	Suppressed	4430141	Suppressed
	"Alabama"	"01"	"2000"	"2000"	Suppressed	4447100	Suppressed
	"Alabama"	"01"	"2001"	"2001"	Suppressed	4467634	Suppressed
	"Alabama"	"01"	"2002"	"2002"	Suppressed	4480089	Suppressed
	"Alabama"	"01"	"2003"	"2003"	Suppressed	4503491	Suppressed
	"Alabama"	"01"	"2004"	"2004"	Suppressed	4530729	Suppressed
	"Alabama"	"01"	"2005"	"2005"	Suppressed	4569805	Suppressed
	"Alabama"	"01"	"2006"	"2006"	Suppressed	4628981	Suppressed
	"Alabama"	"01"	"2007"	"2007"	Suppressed	4672840	Suppressed
	"Alabama"	"01"	"2008"	"2008"	Suppressed	4718206	Suppressed
	"Alabama"	"01"	"2009"	"2009"	12	4757938	Unreliable
	"Alabama"	"01"	"2010"	"2010"	Suppressed	4779736	Suppressed
	"Alabama"	"01"	"2011"	"2011"	14	4802740	Unreliable
	"Alabama"	"01"	"2012"	"2012"	36	4822023	0.7
	"Alabama"	"01"	"2013"	"2013"	42	4833722	0.9
	"Alabama"	"01"	"2014"	"2014"	125	4849377	2.6
	"Alabama"	"01"	"2015"	"2015"	111	4858979	2.3
	"Alabama"	"01"	"2016"	"2016"	129	4863300	2.7
	"Alabama"	"01"	"2017"	"2017"	126	4874747	2.6
	"Alabama"	"01"	"2018"	"2018"	140	4887871	2.9
	"Alabama"	"01"	"2019"	"2019"	143	4903185	2.9
	"Alaska"	"02"	"1999"	"1999"	Suppressed	624779	Suppressed
	"Alaska"	"02"	"2000"	"2000"	Suppressed	626932	Suppressed
	"Alaska"	"02"	"2001"	"2001"	Suppressed	633714	Suppressed
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"2003"	"2003"	Suppressed	648414	Suppressed
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"2005"	"2005"	Suppressed	666946	Suppressed
	"Alaska"	"02"	"2006"	"2006"	Suppressed	675302	Suppressed
	"Alaska"	"02"	"2007"	"2007"	Suppressed	680300	Suppressed
	"Alaska"	"02"	"2008"	"2008"	Suppressed	687455	Suppressed
	"Alaska"	"02"	"2009"	"2009"	Suppressed	698895	Suppressed
	"Alaska"	"02"	"2010"	"2010"	Suppressed	710231	Suppressed
	"Alaska"	"02"	"2011"	"2011"	12	722718	Unreliable
	"Alaska"	"02"	"2012"	"2012"	23	731449	3.1
	"Alaska"	"02"	"2013"	"2013"	24	735132	3.3
	"Alaska"	"02"	"2014"	"2014"	25	736732	3.4
	"Alaska"	"02"	"2015"	"2015"	39	738432	5.3
	"Alaska"	"02"	"2016"	"2016"	51	741894	6.9
	"Alaska"	"02"	"2017"	"2017"	38	739795	5.1
	"Alaska"	"02"	"2018"	"2018"	32	737438	4.3
	"Alaska"	"02"	"2019"	"2019"	47	731545	6.4
	"Arizona"	"04"	"1999"	"1999"	27	5023823	0.5
	"Arizona"	"04"	"2000"	"2000"	15	5130632	Unreliable
	"Arizona"	"04"	"2001"	"2001"	24	5273477	0.5
	"Arizona"	"04"	"2002"	"2002"	26	5396255	0.5
	"Arizona"	"04"	"2003"	"2003"	65	5510364	1.2
	"Arizona"	"04"	"2004"	"2004"	42	5652404	0.7
	"Arizona"	"04"	"2005"	"2005"	33	5839077	0.6
	"Arizona"	"04"	"2006"	"2006"	52	6029141	0.9
	"Arizona"	"04"	"2007"	"2007"	52	6167681	0.8
	"Arizona"	"04"	"2008"	"2008"	63	6280362	1.0
	"Arizona"	"04"	"2009"	"2009"	84	6343154	1.3
	"Arizona"	"04"	"2010"	"2010"	91	6392017	1.4
	"Arizona"	"04"	"2011"	"2011"	118	6482505	1.8
	"Arizona"	"04"	"2012"	"2012"	102	6553255	1.6
	"Arizona"	"04"	"2013"	"2013"	147	6626624	2.2
	"Arizona"	"04"	"2014"	"2014"	199	6731484	3.0
	"Arizona"	"04"	"2015"	"2015"	252	6828065	3.7
	"Arizona"	"04"	"2016"	"2016"	304	6931071	4.4
	"Arizona"	"04"	"2017"	"2017"	346	7016270	4.9
	"Arizona"	"04"	"2018"	"2018"	362	7171646	5.0
	"Arizona"	"04"	"2019"	"2019"	278	7278717	3.8
	"Arkansas"	"05"	"1999"	"1999"	Suppressed	2651860	Suppressed
	"Arkansas"	"05"	"2000"	"2000"	Suppressed	2673400	Suppressed
	"Arkansas"	"05"	"2001"	"2001"	Suppressed	2691571	Suppressed
	"Arkansas"	"05"	"2002"	"2002"	Suppressed	2705927	Suppressed
	"Arkansas"	"05"	"2003"	"2003"	Suppressed	2724816	Suppressed
	"Arkansas"	"05"	"2004"	"2004"	Suppressed	2749686	Suppressed
	"Arkansas"	"05"	"2005"	"2005"	Suppressed	2781097	Suppressed
	"Arkansas"	"05"	"2006"	"2006"	Suppressed	2821761	Suppressed
