"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	16	4430141	Unreliable
	"Alabama"	"01"	"2000"	"2000"	13	4447100	Unreliable
	"Alabama"	"01"	"2001"	"2001"	31	4467634	0.7
	"Alabama"	"01"	"2002"	"2002"	36	4480089	0.8
	"Alabama"	"01"	"2003"	"2003"	28	4503491	0.6
	"Alabama"	"01"	"2004"	"2004"	51	4530729	1.1
	"Alabama"	"01"	"2005"	"2005"	49	4569805	1.1
	"Alabama"	"01"	"2006"	"2006"	69	4628981	1.5
	"Alabama"	"01"	"2007"	"2007"	90	4672840	1.9
	"Alabama"	"01"	"2008"	"2008"	106	4718206	2.2
	"Alabama"	"01"	"2009"	"2009"	89	4757938	1.9
	"Alabama"	"01"	"2010"	"2010"	79	4779736	1.7
	"Alabama"	"01"	"2011"	"2011"	64	4802740	1.3
	"Alabama"	"01"	"2012"	"2012"	57	4822023	1.2
	"Alabama"	"01"	"2013"	"2013"	44	4833722	0.9
	"Alabama"	"01"	"2014"	"2014"	46	4849377	0.9
	"Alabama"	"01"	"2015"	"2015"	43	4858979	0.9
	"Alabama"	"01"	"2016"	"2016"	35	4863300	0.7
	"Alabama"	"01"	"2017"	"2017"	33	4874747	0.7
	"Alabama"	"01"	"2018"	"2018"	35	4887871	0.7
	"Alabama"	"01"	"2019"	"2019"	33	4903185	0.7
	"Alaska"	"02"	"1999"	"1999"	Suppressed	624779	Suppressed
	"Alaska"	"02"	"2000"	"2000"	Suppressed	626932	Suppressed
	"Alaska"	"02"	"2001"	"2001"	Suppressed	633714	Suppressed
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"2003"	"2003"	Suppressed	648414	Suppressed
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"2005"	"2005"	Suppressed	666946	Suppressed
	"Alaska"	"02"	"2006"	"2006"	11	675302	Unreliable
	"Alaska"	"02"	"2007"	"2007"	Suppressed	680300	Suppressed
	"Alaska"	"02"	"2008"	"2008"	30	687455	4.4
	"Alaska"	"02"	"2009"	"2009"	21	698895	3.0
	"Alaska"	"02"	"2010"	"2010"	28	710231	3.9
	"Alaska"	"02"	"2011"	"2011"	18	722718	Unreliable
	"Alaska"	"02"	"2012"	"2012"	10	731449	Unreliable
	"Alaska"	"02"	"2013"	"2013"	Suppressed	735132	Suppressed
	"Alaska"	"02"	"2014"	"2014"	12	736732	Unreliable
	"Alaska"	"02"	"2015"	"2015"	10	738432	Unreliable
	"Alaska"	"02"	"2016"	"2016"	17	741894	Unreliable
	"Alaska"	"02"	"2017"	"2017"	Suppressed	739795	Suppressed
	"Alaska"	"02"	"2018"	"2018"	13	737438	Unreliable
	"Alaska"	"02"	"2019"	"2019"	14	731545	Unreliable
	"Arizona"	"04"	"1999"	"1999"	22	5023823	0.4
	"Arizona"	"04"	"2000"	"2000"	18	5130632	Unreliable
	"Arizona"	"04"	"2001"	"2001"	29	5273477	0.5
