"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	28	4430141	0.6
	"Alabama"	"01"	"2000"	"2000"	37	4447100	0.8
	"Alabama"	"01"	"2001"	"2001"	55	4467634	1.2
	"Alabama"	"01"	"2002"	"2002"	61	4480089	1.4
	"Alabama"	"01"	"2003"	"2003"	44	4503491	1.0
	"Alabama"	"01"	"2004"	"2004"	78	4530729	1.7
	"Alabama"	"01"	"2005"	"2005"	68	4569805	1.5
	"Alabama"	"01"	"2006"	"2006"	113	4628981	2.4
	"Alabama"	"01"	"2007"	"2007"	145	4672840	3.1
	"Alabama"	"01"	"2008"	"2008"	171	4718206	3.6
	"Alabama"	"01"	"2009"	"2009"	173	4757938	3.6
	"Alabama"	"01"	"2010"	"2010"	148	4779736	3.1
	"Alabama"	"01"	"2011"	"2011"	143	4802740	3.0
	"Alabama"	"01"	"2012"	"2012"	119	4822023	2.5
	"Alabama"	"01"	"2013"	"2013"	105	4833722	2.2
	"Alabama"	"01"	"2014"	"2014"	135	4849377	2.8
	"Alabama"	"01"	"2015"	"2015"	124	4858979	2.6
	"Alabama"	"01"	"2016"	"2016"	130	4863300	2.7
	"Alabama"	"01"	"2017"	"2017"	175	4874747	3.6
	"Alabama"	"01"	"2018"	"2018"	158	4887871	3.2
	"Alabama"	"01"	"2019"	"2019"	169	4903185	3.4
	"Alaska"	"02"	"1999"	"1999"	14	624779	Unreliable
	"Alaska"	"02"	"2000"	"2000"	24	626932	3.8
	"Alaska"	"02"	"2001"	"2001"	10	633714	Unreliable
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"2003"	"2003"	11	648414	Unreliable
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"2005"	"2005"	16	666946	Unreliable
	"Alaska"	"02"	"2006"	"2006"	24	675302	3.6
	"Alaska"	"02"	"2007"	"2007"	13	680300	Unreliable
	"Alaska"	"02"	"2008"	"2008"	77	687455	11.2
	"Alaska"	"02"	"2009"	"2009"	78	698895	11.2
	"Alaska"	"02"	"2010"	"2010"	62	710231	8.7
	"Alaska"	"02"	"2011"	"2011"	52	722718	7.2
	"Alaska"	"02"	"2012"	"2012"	48	731449	6.6
	"Alaska"	"02"	"2013"	"2013"	46	735132	6.3
	"Alaska"	"02"	"2014"	"2014"	50	736732	6.8
	"Alaska"	"02"	"2015"	"2015"	59	738432	8.0
	"Alaska"	"02"	"2016"	"2016"	58	741894	7.8
	"Alaska"	"02"	"2017"	"2017"	57	739795	7.7
	"Alaska"	"02"	"2018"	"2018"	48	737438	6.5
	"Alaska"	"02"	"2019"	"2019"	60	731545	8.2
	"Arizona"	"04"	"1999"	"1999"	105	5023823	2.1
	"Arizona"	"04"	"2000"	"2000"	112	5130632	2.2
	"Arizona"	"04"	"2001"	"2001"	114	5273477	2.2
	"Arizona"	"04"	"2002"	"2002"	191	5396255	3.5
	"Arizona"	"04"	"2003"	"2003"	203	5510364	3.7
	"Arizona"	"04"	"2004"	"2004"	210	5652404	3.7
	"Arizona"	"04"	"2005"	"2005"	257	5839077	4.4
	"Arizona"	"04"	"2006"	"2006"	276	6029141	4.6
	"Arizona"	"04"	"2007"	"2007"	315	6167681	5.1
	"Arizona"	"04"	"2008"	"2008"	346	6280362	5.5
	"Arizona"	"04"	"2009"	"2009"	410	6343154	6.5
	"Arizona"	"04"	"2010"	"2010"	427	6392017	6.7
	"Arizona"	"04"	"2011"	"2011"	377	6482505	5.8
	"Arizona"	"04"	"2012"	"2012"	400	6553255	6.1
	"Arizona"	"04"	"2013"	"2013"	326	6626624	4.9
	"Arizona"	"04"	"2014"	"2014"	364	6731484	5.4
	"Arizona"	"04"	"2015"	"2015"	384	6828065	5.6
	"Arizona"	"04"	"2016"	"2016"	405	6931071	5.8
	"Arizona"	"04"	"2017"	"2017"	441	7016270	6.3
	"Arizona"	"04"	"2018"	"2018"	391	7171646	5.5
	"Arizona"	"04"	"2019"	"2019"	385	7278717	5.3
	"Arkansas"	"05"	"1999"	"1999"	17	2651860	Unreliable
	"Arkansas"	"05"	"2000"	"2000"	10	2673400	Unreliable
	"Arkansas"	"05"	"2001"	"2001"	23	2691571	0.9
	"Arkansas"	"05"	"2002"	"2002"	67	2705927	2.5
	"Arkansas"	"05"	"2003"	"2003"	81	2724816	3.0
	"Arkansas"	"05"	"2004"	"2004"	104	2749686	3.8
	"Arkansas"	"05"	"2005"	"2005"	104	2781097	3.7
	"Arkansas"	"05"	"2006"	"2006"	127	2821761	4.5
	"Arkansas"	"05"	"2007"	"2007"	140	2848650	4.9
	"Arkansas"	"05"	"2008"	"2008"	183	2874554	6.4
	"Arkansas"	"05"	"2009"	"2009"	184	2896843	6.4
	"Arkansas"	"05"	"2010"	"2010"	155	2915918	5.3
	"Arkansas"	"05"	"2011"	"2011"	149	2937979	5.1
	"Arkansas"	"05"	"2012"	"2012"	162	2949131	5.5
	"Arkansas"	"05"	"2013"	"2013"	145	2959373	4.9
	"Arkansas"	"05"	"2014"	"2014"	144	2966369	4.9
	"Arkansas"	"05"	"2015"	"2015"	164	2978204	5.5
	"Arkansas"	"05"	"2016"	"2016"	138	2988248	4.6
	"Arkansas"	"05"	"2017"	"2017"	133	3004279	4.4
	"Arkansas"	"05"	"2018"	"2018"	123	3013825	4.1
	"Arkansas"	"05"	"2019"	"2019"	105	3017804	3.5
	"California"	"06"	"1999"	"1999"	1055	33499204	3.1
	"California"	"06"	"2000"	"2000"	715	33871648	2.1
	"California"	"06"	"2001"	"2001"	383	34479458	1.1
