"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	35	4430141	0.8
	"Alabama"	"01"	"2000"	"2000"	44	4447100	1.0
	"Alabama"	"01"	"2001"	"2001"	60	4467634	1.3
	"Alabama"	"01"	"2002"	"2002"	67	4480089	1.5
	"Alabama"	"01"	"2003"	"2003"	48	4503491	1.1
	"Alabama"	"01"	"2004"	"2004"	84	4530729	1.9
	"Alabama"	"01"	"2005"	"2005"	76	4569805	1.7
	"Alabama"	"01"	"2006"	"2006"	127	4628981	2.7
	"Alabama"	"01"	"2007"	"2007"	160	4672840	3.4
	"Alabama"	"01"	"2008"	"2008"	186	4718206	3.9
	"Alabama"	"01"	"2009"	"2009"	197	4757938	4.1
	"Alabama"	"01"	"2010"	"2010"	174	4779736	3.6
	"Alabama"	"01"	"2011"	"2011"	160	4802740	3.3
	"Alabama"	"01"	"2012"	"2012"	132	4822023	2.7
	"Alabama"	"01"	"2013"	"2013"	130	4833722	2.7
	"Alabama"	"01"	"2014"	"2014"	173	4849377	3.6
	"Alabama"	"01"	"2015"	"2015"	182	4858979	3.7
	"Alabama"	"01"	"2016"	"2016"	262	4863300	5.4
	"Alabama"	"01"	"2017"	"2017"	342	4874747	7.0
	"Alabama"	"01"	"2018"	"2018"	283	4887871	5.8
	"Alabama"	"01"	"2019"	"2019"	342	4903185	7.0
	"Alaska"	"02"	"1999"	"1999"	16	624779	Unreliable
	"Alaska"	"02"	"2000"	"2000"	24	626932	3.8
	"Alaska"	"02"	"2001"	"2001"	12	633714	Unreliable
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"2003"	"2003"	11	648414	Unreliable
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"2005"	"2005"	17	666946	Unreliable
	"Alaska"	"02"	"2006"	"2006"	24	675302	3.6
	"Alaska"	"02"	"2007"	"2007"	15	680300	Unreliable
	"Alaska"	"02"	"2008"	"2008"	84	687455	12.2
	"Alaska"	"02"	"2009"	"2009"	84	698895	12.0
