"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	196	4430141	4.4
	"Alabama"	"01"	"2000"	"2000"	226	4447100	5.1
	"Alabama"	"01"	"2001"	"2001"	260	4467634	5.8
	"Alabama"	"01"	"2002"	"2002"	243	4480089	5.4
	"Alabama"	"01"	"2003"	"2003"	235	4503491	5.2
	"Alabama"	"01"	"2004"	"2004"	324	4530729	7.2
	"Alabama"	"01"	"2005"	"2005"	310	4569805	6.8
	"Alabama"	"01"	"2006"	"2006"	443	4628981	9.6
	"Alabama"	"01"	"2007"	"2007"	542	4672840	11.6
	"Alabama"	"01"	"2008"	"2008"	645	4718206	13.7
	"Alabama"	"01"	"2009"	"2009"	656	4757938	13.8
	"Alabama"	"01"	"2010"	"2010"	579	4779736	12.1
	"Alabama"	"01"	"2011"	"2011"	582	4802740	12.1
	"Alabama"	"01"	"2012"	"2012"	588	4822023	12.2
	"Alabama"	"01"	"2013"	"2013"	638	4833722	13.2
	"Alabama"	"01"	"2014"	"2014"	765	4849377	15.8
	"Alabama"	"01"	"2015"	"2015"	773	4858979	15.9
	"Alabama"	"01"	"2016"	"2016"	799	4863300	16.4
	"Alabama"	"01"	"2017"	"2017"	894	4874747	18.3
	"Alabama"	"01"	"2018"	"2018"	823	4887871	16.8
	"Alabama"	"01"	"2019"	"2019"	821	4903185	16.7
"Total"	"Alabama"	"01"			11342	98682634	11.5
	"Alaska"	"02"	"1999"	"1999"	53	624779	8.5
	"Alaska"	"02"	"2000"	"2000"	55	626932	8.8
	"Alaska"	"02"	"2001"	"2001"	68	633714	10.7
	"Alaska"	"02"	"2002"	"2002"	89	642337	13.9
	"Alaska"	"02"	"2003"	"2003"	89	648414	13.7
	"Alaska"	"02"	"2004"	"2004"	93	659286	14.1
	"Alaska"	"02"	"2005"	"2005"	88	666946	13.2
	"Alaska"	"02"	"2006"	"2006"	83	675302	12.3
	"Alaska"	"02"	"2007"	"2007"	78	680300	11.5
	"Alaska"	"02"	"2008"	"2008"	146	687455	21.2
	"Alaska"	"02"	"2009"	"2009"	140	698895	20.0
	"Alaska"	"02"	"2010"	"2010"	99	710231	13.9
	"Alaska"	"02"	"2011"	"2011"	117	722718	16.2
	"Alaska"	"02"	"2012"	"2012"	133	731449	18.2
	"Alaska"	"02"	"2013"	"2013"	110	735132	15.0
	"Alaska"	"02"	"2014"	"2014"	129	736732	17.5
	"Alaska"	"02"	"2015"	"2015"	146	738432	19.8
	"Alaska"	"02"	"2016"	"2016"	147	741894	19.8
	"Alaska"	"02"	"2017"	"2017"	168	739795	22.7
	"Alaska"	"02"	"2018"	"2018"	138	737438	18.7
	"Alaska"	"02"	"2019"	"2019"	165	731545	22.6
"Total"	"Alaska"	"02"			2334	14569726	16.0
	"Arizona"	"04"	"1999"	"1999"	567	5023823	11.3
	"Arizona"	"04"	"2000"	"2000"	565	5130632	11.0
	"Arizona"	"04"	"2001"	"2001"	600	5273477	11.4
	"Arizona"	"04"	"2002"	"2002"	683	5396255	12.7
	"Arizona"	"04"	"2003"	"2003"	720	5510364	13.1
	"Arizona"	"04"	"2004"	"2004"	792	5652404	14.0
	"Arizona"	"04"	"2005"	"2005"	857	5839077	14.7
	"Arizona"	"04"	"2006"	"2006"	957	6029141	15.9
	"Arizona"	"04"	"2007"	"2007"	1031	6167681	16.7
	"Arizona"	"04"	"2008"	"2008"	888	6280362	14.1
	"Arizona"	"04"	"2009"	"2009"	1085	6343154	17.1
	"Arizona"	"04"	"2010"	"2010"	1225	6392017	19.2
	"Arizona"	"04"	"2011"	"2011"	1196	6482505	18.4
	"Arizona"	"04"	"2012"	"2012"	1283	6553255	19.6
	"Arizona"	"04"	"2013"	"2013"	1339	6626624	20.2
	"Arizona"	"04"	"2014"	"2014"	1325	6731484	19.7
	"Arizona"	"04"	"2015"	"2015"	1391	6828065	20.4
