"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	39	4430141	0.9
	"Alabama"	"01"	"2000"	"2000"	46	4447100	1.0
	"Alabama"	"01"	"2001"	"2001"	67	4467634	1.5
	"Alabama"	"01"	"2002"	"2002"	75	4480089	1.7
	"Alabama"	"01"	"2003"	"2003"	54	4503491	1.2
	"Alabama"	"01"	"2004"	"2004"	92	4530729	2.0
	"Alabama"	"01"	"2005"	"2005"	83	4569805	1.8
	"Alabama"	"01"	"2006"	"2006"	134	4628981	2.9
	"Alabama"	"01"	"2007"	"2007"	172	4672840	3.7
	"Alabama"	"01"	"2008"	"2008"	195	4718206	4.1
	"Alabama"	"01"	"2009"	"2009"	210	4757938	4.4
	"Alabama"	"01"	"2010"	"2010"	194	4779736	4.1
	"Alabama"	"01"	"2011"	"2011"	180	4802740	3.7
	"Alabama"	"01"	"2012"	"2012"	175	4822023	3.6
	"Alabama"	"01"	"2013"	"2013"	175	4833722	3.6
	"Alabama"	"01"	"2014"	"2014"	282	4849377	5.8
	"Alabama"	"01"	"2015"	"2015"	292	4858979	6.0
	"Alabama"	"01"	"2016"	"2016"	351	4863300	7.2
	"Alabama"	"01"	"2017"	"2017"	434	4874747	8.9
	"Alabama"	"01"	"2018"	"2018"	392	4887871	8.0
	"Alabama"	"01"	"2019"	"2019"	427	4903185	8.7
	"Alaska"	"02"	"1999"	"1999"	28	624779	4.5
	"Alaska"	"02"	"2000"	"2000"	27	626932	4.3
	"Alaska"	"02"	"2001"	"2001"	17	633714	Unreliable
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"2003"	"2003"	14	648414	Unreliable
	"Alaska"	"02"	"2004"	"2004"	11	659286	Unreliable
	"Alaska"	"02"	"2005"	"2005"	19	666946	Unreliable
	"Alaska"	"02"	"2006"	"2006"	29	675302	4.3
	"Alaska"	"02"	"2007"	"2007"	16	680300	Unreliable
	"Alaska"	"02"	"2008"	"2008"	94	687455	13.7
	"Alaska"	"02"	"2009"	"2009"	94	698895	13.4
	"Alaska"	"02"	"2010"	"2010"	71	710231	10.0
	"Alaska"	"02"	"2011"	"2011"	72	722718	10.0
	"Alaska"	"02"	"2012"	"2012"	81	731449	11.1
	"Alaska"	"02"	"2013"	"2013"	69	735132	9.4
	"Alaska"	"02"	"2014"	"2014"	79	736732	10.7
	"Alaska"	"02"	"2015"	"2015"	92	738432	12.5
	"Alaska"	"02"	"2016"	"2016"	101	741894	13.6
	"Alaska"	"02"	"2017"	"2017"	109	739795	14.7
	"Alaska"	"02"	"2018"	"2018"	82	737438	11.1
	"Alaska"	"02"	"2019"	"2019"	100	731545	13.7
	"Arizona"	"04"	"1999"	"1999"	250	5023823	5.0
	"Arizona"	"04"	"2000"	"2000"	249	5130632	4.9
	"Arizona"	"04"	"2001"	"2001"	275	5273477	5.2
	"Arizona"	"04"	"2002"	"2002"	340	5396255	6.3
	"Arizona"	"04"	"2003"	"2003"	350	5510364	6.4
	"Arizona"	"04"	"2004"	"2004"	360	5652404	6.4
	"Arizona"	"04"	"2005"	"2005"	393	5839077	6.7
	"Arizona"	"04"	"2006"	"2006"	479	6029141	7.9
	"Arizona"	"04"	"2007"	"2007"	490	6167681	7.9
	"Arizona"	"04"	"2008"	"2008"	515	6280362	8.2
	"Arizona"	"04"	"2009"	"2009"	625	6343154	9.9
	"Arizona"	"04"	"2010"	"2010"	650	6392017	10.2
	"Arizona"	"04"	"2011"	"2011"	596	6482505	9.2
	"Arizona"	"04"	"2012"	"2012"	565	6553255	8.6
	"Arizona"	"04"	"2013"	"2013"	545	6626624	8.2
	"Arizona"	"04"	"2014"	"2014"	616	6731484	9.2
	"Arizona"	"04"	"2015"	"2015"	701	6828065	10.3
	"Arizona"	"04"	"2016"	"2016"	806	6931071	11.6
	"Arizona"	"04"	"2017"	"2017"	970	7016270	13.8
	"Arizona"	"04"	"2018"	"2018"	1159	7171646	16.2
	"Arizona"	"04"	"2019"	"2019"	1324	7278717	18.2
	"Arkansas"	"05"	"1999"	"1999"	29	2651860	1.1
	"Arkansas"	"05"	"2000"	"2000"	20	2673400	0.7
	"Arkansas"	"05"	"2001"	"2001"	30	2691571	1.1
	"Arkansas"	"05"	"2002"	"2002"	96	2705927	3.5
	"Arkansas"	"05"	"2003"	"2003"	98	2724816	3.6
	"Arkansas"	"05"	"2004"	"2004"	133	2749686	4.8
	"Arkansas"	"05"	"2005"	"2005"	127	2781097	4.6
	"Arkansas"	"05"	"2006"	"2006"	149	2821761	5.3
	"Arkansas"	"05"	"2007"	"2007"	156	2848650	5.5
	"Arkansas"	"05"	"2008"	"2008"	210	2874554	7.3
	"Arkansas"	"05"	"2009"	"2009"	221	2896843	7.6
	"Arkansas"	"05"	"2010"	"2010"	198	2915918	6.8
	"Arkansas"	"05"	"2011"	"2011"	176	2937979	6.0
	"Arkansas"	"05"	"2012"	"2012"	181	2949131	6.1
	"Arkansas"	"05"	"2013"	"2013"	175	2959373	5.9
	"Arkansas"	"05"	"2014"	"2014"	179	2966369	6.0
	"Arkansas"	"05"	"2015"	"2015"	208	2978204	7.0
	"Arkansas"	"05"	"2016"	"2016"	175	2988248	5.9
	"Arkansas"	"05"	"2017"	"2017"	200	3004279	6.7
	"Arkansas"	"05"	"2018"	"2018"	217	3013825	7.2
	"Arkansas"	"05"	"2019"	"2019"	208	3017804	6.9
	"California"	"06"	"1999"	"1999"	1598	33499204	4.8
	"California"	"06"	"2000"	"2000"	1105	33871648	3.3
	"California"	"06"	"2001"	"2001"	605	34479458	1.8
	"California"	"06"	"2002"	"2002"	1583	34871843	4.5
	"California"	"06"	"2003"	"2003"	1530	35253159	4.3
	"California"	"06"	"2004"	"2004"	1547	35574576	4.3
	"California"	"06"	"2005"	"2005"	1485	35827943	4.1
	"California"	"06"	"2006"	"2006"	1602	36021202	4.4
	"California"	"06"	"2007"	"2007"	1762	36250311	4.9
	"California"	"06"	"2008"	"2008"	1889	36604337	5.2
	"California"	"06"	"2009"	"2009"	2128	36961229	5.8
	"California"	"06"	"2010"	"2010"	2059	37253956	5.5
	"California"	"06"	"2011"	"2011"	2057	37691912	5.5
	"California"	"06"	"2012"	"2012"	1847	38041430	4.9
	"California"	"06"	"2013"	"2013"	2088	38332521	5.4
	"California"	"06"	"2014"	"2014"	2159	38802500	5.6
	"California"	"06"	"2015"	"2015"	2130	39144818	5.4
	"California"	"06"	"2016"	"2016"	2146	39250017	5.5
	"California"	"06"	"2017"	"2017"	2341	39536653	5.9
	"California"	"06"	"2018"	"2018"	2544	39557045	6.4
	"California"	"06"	"2019"	"2019"	3364	39512223	8.5
	"Colorado"	"08"	"1999"	"1999"	169	4226018	4.0
	"Colorado"	"08"	"2000"	"2000"	184	4301261	4.3
	"Colorado"	"08"	"2001"	"2001"	204	4425687	4.6
	"Colorado"	"08"	"2002"	"2002"	206	4490406	4.6
	"Colorado"	"08"	"2003"	"2003"	229	4528732	5.1
	"Colorado"	"08"	"2004"	"2004"	233	4575013	5.1
	"Colorado"	"08"	"2005"	"2005"	310	4631888	6.7
	"Colorado"	"08"	"2006"	"2006"	337	4720423	7.1
	"Colorado"	"08"	"2007"	"2007"	368	4803868	7.7
	"Colorado"	"08"	"2008"	"2008"	365	4889730	7.5
	"Colorado"	"08"	"2009"	"2009"	412	4972195	8.3
	"Colorado"	"08"	"2010"	"2010"	325	5029196	6.5
	"Colorado"	"08"	"2011"	"2011"	423	5116796	8.3
	"Colorado"	"08"	"2012"	"2012"	415	5187582	8.0
	"Colorado"	"08"	"2013"	"2013"	443	5268367	8.4
	"Colorado"	"08"	"2014"	"2014"	532	5355866	9.9
	"Colorado"	"08"	"2015"	"2015"	512	5456574	9.4
	"Colorado"	"08"	"2016"	"2016"	560	5540545	10.1
	"Colorado"	"08"	"2017"	"2017"	600	5607154	10.7
	"Colorado"	"08"	"2018"	"2018"	602	5695564	10.6
	"Colorado"	"08"	"2019"	"2019"	676	5758736	11.7
	"Connecticut"	"09"	"1999"	"1999"	158	3386401	4.7
	"Connecticut"	"09"	"2000"	"2000"	173	3405565	5.1
	"Connecticut"	"09"	"2001"	"2001"	158	3432835	4.6
	"Connecticut"	"09"	"2002"	"2002"	174	3458749	5.0
	"Connecticut"	"09"	"2003"	"2003"	168	3484336	4.8
	"Connecticut"	"09"	"2004"	"2004"	196	3496094	5.6
	"Connecticut"	"09"	"2005"	"2005"	175	3506956	5.0
	"Connecticut"	"09"	"2006"	"2006"	238	3517460	6.8
	"Connecticut"	"09"	"2007"	"2007"	249	3527270	7.1
	"Connecticut"	"09"	"2008"	"2008"	233	3545579	6.6
	"Connecticut"	"09"	"2009"	"2009"	220	3561807	6.2
	"Connecticut"	"09"	"2010"	"2010"	225	3574097	6.3
	"Connecticut"	"09"	"2011"	"2011"	213	3580709	5.9
	"Connecticut"	"09"	"2012"	"2012"	202	3590347	5.6
	"Connecticut"	"09"	"2013"	"2013"	442	3596080	12.3
	"Connecticut"	"09"	"2014"	"2014"	531	3596677	14.8
	"Connecticut"	"09"	"2015"	"2015"	692	3590886	19.3
	"Connecticut"	"09"	"2016"	"2016"	868	3576452	24.3
	"Connecticut"	"09"	"2017"	"2017"	967	3588184	26.9
	"Connecticut"	"09"	"2018"	"2018"	961	3572665	26.9
	"Connecticut"	"09"	"2019"	"2019"	1119	3565287	31.4
	"Delaware"	"10"	"1999"	"1999"	32	774990	4.1
	"Delaware"	"10"	"2000"	"2000"	36	783600	4.6
	"Delaware"	"10"	"2001"	"2001"	40	795699	5.0
	"Delaware"	"10"	"2002"	"2002"	54	806169	6.7
	"Delaware"	"10"	"2003"	"2003"	46	818003	5.6
	"Delaware"	"10"	"2004"	"2004"	38	830803	4.6
	"Delaware"	"10"	"2005"	"2005"	33	845150	3.9
	"Delaware"	"10"	"2006"	"2006"	42	859268	4.9
	"Delaware"	"10"	"2007"	"2007"	52	871749	6.0
	"Delaware"	"10"	"2008"	"2008"	68	883874	7.7
	"Delaware"	"10"	"2009"	"2009"	93	891730	10.4
	"Delaware"	"10"	"2010"	"2010"	116	897934	12.9
	"Delaware"	"10"	"2011"	"2011"	115	907135	12.7
	"Delaware"	"10"	"2012"	"2012"	86	917092	9.4
	"Delaware"	"10"	"2013"	"2013"	115	925749	12.4
	"Delaware"	"10"	"2014"	"2014"	125	935614	13.4
	"Delaware"	"10"	"2015"	"2015"	138	945934	14.6
	"Delaware"	"10"	"2016"	"2016"	159	952065	16.7
	"Delaware"	"10"	"2017"	"2017"	256	961939	26.6
	"Delaware"	"10"	"2018"	"2018"	358	967171	37.0
	"Delaware"	"10"	"2019"	"2019"	390	973764	40.1
	"District of Columbia"	"11"	"1999"	"1999"	28	570213	4.9
	"District of Columbia"	"11"	"2000"	"2000"	43	572059	7.5
	"District of Columbia"	"11"	"2001"	"2001"	48	574504	8.4
	"District of Columbia"	"11"	"2002"	"2002"	29	573158	5.1
	"District of Columbia"	"11"	"2003"	"2003"	60	568502	10.6
	"District of Columbia"	"11"	"2004"	"2004"	53	567754	9.3
	"District of Columbia"	"11"	"2005"	"2005"	45	567136	7.9
	"District of Columbia"	"11"	"2006"	"2006"	62	570681	10.9
	"District of Columbia"	"11"	"2007"	"2007"	29	574404	5.0
	"District of Columbia"	"11"	"2008"	"2008"	33	580236	5.7
	"District of Columbia"	"11"	"2009"	"2009"	13	592228	Unreliable
	"District of Columbia"	"11"	"2010"	"2010"	36	601723	6.0
	"District of Columbia"	"11"	"2011"	"2011"	57	617996	9.2
	"District of Columbia"	"11"	"2012"	"2012"	45	632323	7.1
	"District of Columbia"	"11"	"2013"	"2013"	60	646449	9.3
	"District of Columbia"	"11"	"2014"	"2014"	65	658893	9.9
	"District of Columbia"	"11"	"2015"	"2015"	100	672228	14.9
	"District of Columbia"	"11"	"2016"	"2016"	213	681170	31.3
	"District of Columbia"	"11"	"2017"	"2017"	246	693972	35.4
	"District of Columbia"	"11"	"2018"	"2018"	192	702455	27.3
	"District of Columbia"	"11"	"2019"	"2019"	247	705749	35.0
	"Florida"	"12"	"1999"	"1999"	417	15759421	2.6
	"Florida"	"12"	"2000"	"2000"	571	15982378	3.6
	"Florida"	"12"	"2001"	"2001"	890	16356966	5.4
	"Florida"	"12"	"2002"	"2002"	1001	16689370	6.0
	"Florida"	"12"	"2003"	"2003"	1080	17004085	6.4
	"Florida"	"12"	"2004"	"2004"	1258	17415318	7.2
	"Florida"	"12"	"2005"	"2005"	1151	17842038	6.5
	"Florida"	"12"	"2006"	"2006"	1323	18166990	7.3
	"Florida"	"12"	"2007"	"2007"	1519	18367842	8.3
	"Florida"	"12"	"2008"	"2008"	1523	18527305	8.2
	"Florida"	"12"	"2009"	"2009"	1654	18652644	8.9
	"Florida"	"12"	"2010"	"2010"	1739	18801310	9.2
	"Florida"	"12"	"2011"	"2011"	1637	19057542	8.6
	"Florida"	"12"	"2012"	"2012"	1383	19317568	7.2
	"Florida"	"12"	"2013"	"2013"	1327	19552860	6.8
	"Florida"	"12"	"2014"	"2014"	1446	19893297	7.3
	"Florida"	"12"	"2015"	"2015"	1886	20271272	9.3
	"Florida"	"12"	"2016"	"2016"	2847	20612439	13.8
	"Florida"	"12"	"2017"	"2017"	3313	20984400	15.8
	"Florida"	"12"	"2018"	"2018"	3260	21299325	15.3
	"Florida"	"12"	"2019"	"2019"	3843	21477737	17.9
	"Georgia"	"13"	"1999"	"1999"	85	8045965	1.1
	"Georgia"	"13"	"2000"	"2000"	134	8186453	1.6
	"Georgia"	"13"	"2001"	"2001"	199	8377038	2.4
	"Georgia"	"13"	"2002"	"2002"	223	8508256	2.6
	"Georgia"	"13"	"2003"	"2003"	248	8622793	2.9
	"Georgia"	"13"	"2004"	"2004"	269	8769252	3.1
	"Georgia"	"13"	"2005"	"2005"	312	8925922	3.5
	"Georgia"	"13"	"2006"	"2006"	344	9155813	3.8
	"Georgia"	"13"	"2007"	"2007"	404	9349988	4.3
