"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	Suppressed	4430141	Suppressed
	"Alabama"	"01"	"2000"	"2000"	Suppressed	4447100	Suppressed
	"Alabama"	"01"	"2001"	"2001"	Suppressed	4467634	Suppressed
	"Alabama"	"01"	"2002"	"2002"	Suppressed	4480089	Suppressed
	"Alabama"	"01"	"2003"	"2003"	Suppressed	4503491	Suppressed
	"Alabama"	"01"	"2004"	"2004"	Suppressed	4530729	Suppressed
	"Alabama"	"01"	"2005"	"2005"	Suppressed	4569805	Suppressed
	"Alabama"	"01"	"2006"	"2006"	Suppressed	4628981	Suppressed
	"Alabama"	"01"	"2007"	"2007"	Suppressed	4672840	Suppressed
	"Alabama"	"01"	"2008"	"2008"	Suppressed	4718206	Suppressed
	"Alabama"	"01"	"2009"	"2009"	Suppressed	4757938	Suppressed
	"Alabama"	"01"	"2010"	"2010"	Suppressed	4779736	Suppressed
	"Alabama"	"01"	"2011"	"2011"	Suppressed	4802740	Suppressed
	"Alabama"	"01"	"2012"	"2012"	Suppressed	4822023	Suppressed
	"Alabama"	"01"	"2013"	"2013"	Suppressed	4833722	Suppressed
	"Alabama"	"01"	"2014"	"2014"	Suppressed	4849377	Suppressed
	"Alabama"	"01"	"2015"	"2015"	Suppressed	4858979	Suppressed
	"Alabama"	"01"	"2016"	"2016"	Suppressed	4863300	Suppressed
	"Alabama"	"01"	"2017"	"2017"	Suppressed	4874747	Suppressed
	"Alabama"	"01"	"2018"	"2018"	Suppressed	4887871	Suppressed
	"Alabama"	"01"	"2019"	"2019"	Suppressed	4903185	Suppressed
"Total"	"Alabama"	"01"			Suppressed	98682634	Suppressed
	"Alaska"	"02"	"1999"	"1999"	Suppressed	624779	Suppressed
	"Alaska"	"02"	"2000"	"2000"	Suppressed	626932	Suppressed
	"Alaska"	"02"	"2001"	"2001"	Suppressed	633714	Suppressed
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"2003"	"2003"	Suppressed	648414	Suppressed
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"2005"	"2005"	Suppressed	666946	Suppressed
	"Alaska"	"02"	"2006"	"2006"	Suppressed	675302	Suppressed
	"Alaska"	"02"	"2007"	"2007"	Suppressed	680300	Suppressed
	"Alaska"	"02"	"2008"	"2008"	Suppressed	687455	Suppressed
	"Alaska"	"02"	"2009"	"2009"	Suppressed	698895	Suppressed
	"Alaska"	"02"	"2010"	"2010"	Suppressed	710231	Suppressed
	"Alaska"	"02"	"2011"	"2011"	Suppressed	722718	Suppressed
	"Alaska"	"02"	"2012"	"2012"	Suppressed	731449	Suppressed
	"Alaska"	"02"	"2013"	"2013"	Suppressed	735132	Suppressed
	"Alaska"	"02"	"2014"	"2014"	Suppressed	736732	Suppressed
	"Alaska"	"02"	"2015"	"2015"	Suppressed	738432	Suppressed
	"Alaska"	"02"	"2016"	"2016"	Suppressed	741894	Suppressed
	"Alaska"	"02"	"2017"	"2017"	Suppressed	739795	Suppressed
	"Alaska"	"02"	"2018"	"2018"	Suppressed	737438	Suppressed
	"Alaska"	"02"	"2019"	"2019"	Suppressed	731545	Suppressed
"Total"	"Alaska"	"02"			Suppressed	14569726	Suppressed
	"Arizona"	"04"	"1999"	"1999"	Suppressed	5023823	Suppressed
	"Arizona"	"04"	"2000"	"2000"	Suppressed	5130632	Suppressed
	"Arizona"	"04"	"2001"	"2001"	Suppressed	5273477	Suppressed
	"Arizona"	"04"	"2002"	"2002"	Suppressed	5396255	Suppressed
	"Arizona"	"04"	"2003"	"2003"	Suppressed	5510364	Suppressed
	"Arizona"	"04"	"2004"	"2004"	Suppressed	5652404	Suppressed
	"Arizona"	"04"	"2005"	"2005"	Suppressed	5839077	Suppressed
	"Arizona"	"04"	"2006"	"2006"	Suppressed	6029141	Suppressed
	"Arizona"	"04"	"2007"	"2007"	Suppressed	6167681	Suppressed
	"Arizona"	"04"	"2008"	"2008"	Suppressed	6280362	Suppressed
	"Arizona"	"04"	"2009"	"2009"	Suppressed	6343154	Suppressed
	"Arizona"	"04"	"2010"	"2010"	Suppressed	6392017	Suppressed
	"Arizona"	"04"	"2011"	"2011"	Suppressed	6482505	Suppressed
	"Arizona"	"04"	"2012"	"2012"	Suppressed	6553255	Suppressed
	"Arizona"	"04"	"2013"	"2013"	Suppressed	6626624	Suppressed
	"Arizona"	"04"	"2014"	"2014"	Suppressed	6731484	Suppressed
	"Arizona"	"04"	"2015"	"2015"	Suppressed	6828065	Suppressed
	"Arizona"	"04"	"2016"	"2016"	Suppressed	6931071	Suppressed
	"Arizona"	"04"	"2017"	"2017"	Suppressed	7016270	Suppressed
	"Arizona"	"04"	"2018"	"2018"	Suppressed	7171646	Suppressed
	"Arizona"	"04"	"2019"	"2019"	Suppressed	7278717	Suppressed
"Total"	"Arizona"	"04"			Suppressed	130658024	Suppressed
