"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	Suppressed	4430141	Suppressed
	"Alabama"	"01"	"2000"	"2000"	Suppressed	4447100	Suppressed
	"Alabama"	"01"	"2001"	"2001"	Suppressed	4467634	Suppressed
	"Alabama"	"01"	"2002"	"2002"	Suppressed	4480089	Suppressed
	"Alabama"	"01"	"2003"	"2003"	Suppressed	4503491	Suppressed
	"Alabama"	"01"	"2004"	"2004"	Suppressed	4530729	Suppressed
	"Alabama"	"01"	"2005"	"2005"	Suppressed	4569805	Suppressed
	"Alabama"	"01"	"2006"	"2006"	Suppressed	4628981	Suppressed
	"Alabama"	"01"	"2007"	"2007"	Suppressed	4672840	Suppressed
	"Alabama"	"01"	"2008"	"2008"	Suppressed	4718206	Suppressed
	"Alabama"	"01"	"2009"	"2009"	Suppressed	4757938	Suppressed
	"Alabama"	"01"	"2010"	"2010"	14	4779736	Unreliable
	"Alabama"	"01"	"2011"	"2011"	11	4802740	Unreliable
	"Alabama"	"01"	"2012"	"2012"	11	4822023	Unreliable
	"Alabama"	"01"	"2013"	"2013"	16	4833722	Unreliable
	"Alabama"	"01"	"2014"	"2014"	14	4849377	Unreliable
	"Alabama"	"01"	"2015"	"2015"	23	4858979	0.5
	"Alabama"	"01"	"2016"	"2016"	13	4863300	Unreliable
	"Alabama"	"01"	"2017"	"2017"	23	4874747	0.5
	"Alabama"	"01"	"2018"	"2018"	13	4887871	Unreliable
	"Alabama"	"01"	"2019"	"2019"	10	4903185	Unreliable
	"Alaska"	"02"	"1999"	"1999"	Suppressed	624779	Suppressed
	"Alaska"	"02"	"2000"	"2000"	Suppressed	626932	Suppressed
	"Alaska"	"02"	"2001"	"2001"	Suppressed	633714	Suppressed
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"2003"	"2003"	Suppressed	648414	Suppressed
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"2005"	"2005"	Suppressed	666946	Suppressed
	"Alaska"	"02"	"2006"	"2006"	Suppressed	675302	Suppressed
	"Alaska"	"02"	"2007"	"2007"	Suppressed	680300	Suppressed
	"Alaska"	"02"	"2008"	"2008"	Suppressed	687455	Suppressed
	"Alaska"	"02"	"2009"	"2009"	Suppressed	698895	Suppressed
	"Alaska"	"02"	"2010"	"2010"	Suppressed	710231	Suppressed
	"Alaska"	"02"	"2011"	"2011"	Suppressed	722718	Suppressed
	"Alaska"	"02"	"2012"	"2012"	Suppressed	731449	Suppressed
	"Alaska"	"02"	"2013"	"2013"	Suppressed	735132	Suppressed
	"Alaska"	"02"	"2014"	"2014"	15	736732	Unreliable
	"Alaska"	"02"	"2015"	"2015"	19	738432	Unreliable
	"Alaska"	"02"	"2016"	"2016"	26	741894	3.5
	"Alaska"	"02"	"2017"	"2017"	27	739795	3.6
	"Alaska"	"02"	"2018"	"2018"	24	737438	3.3
	"Alaska"	"02"	"2019"	"2019"	26	731545	3.6
	"Arizona"	"04"	"1999"	"1999"	103	5023823	2.1
	"Arizona"	"04"	"2000"	"2000"	121	5130632	2.4
	"Arizona"	"04"	"2001"	"2001"	127	5273477	2.4
	"Arizona"	"04"	"2002"	"2002"	117	5396255	2.2
	"Arizona"	"04"	"2003"	"2003"	71	5510364	1.3
	"Arizona"	"04"	"2004"	"2004"	95	5652404	1.7
	"Arizona"	"04"	"2005"	"2005"	85	5839077	1.5
	"Arizona"	"04"	"2006"	"2006"	122	6029141	2.0
	"Arizona"	"04"	"2007"	"2007"	114	6167681	1.8
	"Arizona"	"04"	"2008"	"2008"	80	6280362	1.3
	"Arizona"	"04"	"2009"	"2009"	113	6343154	1.8
	"Arizona"	"04"	"2010"	"2010"	113	6392017	1.8
	"Arizona"	"04"	"2011"	"2011"	85	6482505	1.3
	"Arizona"	"04"	"2012"	"2012"	53	6553255	0.8
	"Arizona"	"04"	"2013"	"2013"	51	6626624	0.8
	"Arizona"	"04"	"2014"	"2014"	40	6731484	0.6
	"Arizona"	"04"	"2015"	"2015"	51	6828065	0.7
	"Arizona"	"04"	"2016"	"2016"	52	6931071	0.8
	"Arizona"	"04"	"2017"	"2017"	56	7016270	0.8
	"Arizona"	"04"	"2018"	"2018"	39	7171646	0.5
	"Arizona"	"04"	"2019"	"2019"	43	7278717	0.6
	"Arkansas"	"05"	"1999"	"1999"	Suppressed	2651860	Suppressed
	"Arkansas"	"05"	"2000"	"2000"	Suppressed	2673400	Suppressed
	"Arkansas"	"05"	"2001"	"2001"	Suppressed	2691571	Suppressed
	"Arkansas"	"05"	"2002"	"2002"	11	2705927	Unreliable
	"Arkansas"	"05"	"2003"	"2003"	Suppressed	2724816	Suppressed
	"Arkansas"	"05"	"2004"	"2004"	Suppressed	2749686	Suppressed
	"Arkansas"	"05"	"2005"	"2005"	Suppressed	2781097	Suppressed
	"Arkansas"	"05"	"2006"	"2006"	13	2821761	Unreliable
