"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	12	4430141	Unreliable
	"Alabama"	"01"	"2000"	"2000"	26	4447100	0.6
	"Alabama"	"01"	"2001"	"2001"	25	4467634	0.6
	"Alabama"	"01"	"2002"	"2002"	31	4480089	0.7
	"Alabama"	"01"	"2003"	"2003"	23	4503491	0.5
	"Alabama"	"01"	"2004"	"2004"	37	4530729	0.8
	"Alabama"	"01"	"2005"	"2005"	24	4569805	0.5
	"Alabama"	"01"	"2006"	"2006"	53	4628981	1.1
	"Alabama"	"01"	"2007"	"2007"	67	4672840	1.4
	"Alabama"	"01"	"2008"	"2008"	78	4718206	1.7
	"Alabama"	"01"	"2009"	"2009"	95	4757938	2.0
	"Alabama"	"01"	"2010"	"2010"	84	4779736	1.8
	"Alabama"	"01"	"2011"	"2011"	95	4802740	2.0
	"Alabama"	"01"	"2012"	"2012"	70	4822023	1.5
	"Alabama"	"01"	"2013"	"2013"	71	4833722	1.5
	"Alabama"	"01"	"2014"	"2014"	95	4849377	2.0
	"Alabama"	"01"	"2015"	"2015"	90	4858979	1.9
	"Alabama"	"01"	"2016"	"2016"	99	4863300	2.0
	"Alabama"	"01"	"2017"	"2017"	146	4874747	3.0
	"Alabama"	"01"	"2018"	"2018"	129	4887871	2.6
	"Alabama"	"01"	"2019"	"2019"	142	4903185	2.9
	"Alaska"	"02"	"1999"	"1999"	11	624779	Unreliable
	"Alaska"	"02"	"2000"	"2000"	21	626932	3.3
	"Alaska"	"02"	"2001"	"2001"	10	633714	Unreliable
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"2003"	"2003"	10	648414	Unreliable
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"2005"	"2005"	Suppressed	666946	Suppressed
	"Alaska"	"02"	"2006"	"2006"	14	675302	Unreliable
	"Alaska"	"02"	"2007"	"2007"	Suppressed	680300	Suppressed
	"Alaska"	"02"	"2008"	"2008"	55	687455	8.0
	"Alaska"	"02"	"2009"	"2009"	64	698895	9.2
	"Alaska"	"02"	"2010"	"2010"	44	710231	6.2
	"Alaska"	"02"	"2011"	"2011"	40	722718	5.5
	"Alaska"	"02"	"2012"	"2012"	42	731449	5.7
	"Alaska"	"02"	"2013"	"2013"	38	735132	5.2
	"Alaska"	"02"	"2014"	"2014"	43	736732	5.8
	"Alaska"	"02"	"2015"	"2015"	53	738432	7.2
	"Alaska"	"02"	"2016"	"2016"	51	741894	6.9
	"Alaska"	"02"	"2017"	"2017"	53	739795	7.2
	"Alaska"	"02"	"2018"	"2018"	41	737438	5.6
	"Alaska"	"02"	"2019"	"2019"	51	731545	7.0
	"Arizona"	"04"	"1999"	"1999"	86	5023823	1.7
	"Arizona"	"04"	"2000"	"2000"	96	5130632	1.9
	"Arizona"	"04"	"2001"	"2001"	87	5273477	1.6
	"Arizona"	"04"	"2002"	"2002"	138	5396255	2.6
	"Arizona"	"04"	"2003"	"2003"	138	5510364	2.5
	"Arizona"	"04"	"2004"	"2004"	151	5652404	2.7
	"Arizona"	"04"	"2005"	"2005"	179	5839077	3.1
	"Arizona"	"04"	"2006"	"2006"	196	6029141	3.3
	"Arizona"	"04"	"2007"	"2007"	238	6167681	3.9
	"Arizona"	"04"	"2008"	"2008"	269	6280362	4.3
	"Arizona"	"04"	"2009"	"2009"	324	6343154	5.1
	"Arizona"	"04"	"2010"	"2010"	340	6392017	5.3
	"Arizona"	"04"	"2011"	"2011"	335	6482505	5.2
	"Arizona"	"04"	"2012"	"2012"	356	6553255	5.4
	"Arizona"	"04"	"2013"	"2013"	268	6626624	4.0
	"Arizona"	"04"	"2014"	"2014"	310	6731484	4.6
	"Arizona"	"04"	"2015"	"2015"	318	6828065	4.7
	"Arizona"	"04"	"2016"	"2016"	348	6931071	5.0
	"Arizona"	"04"	"2017"	"2017"	375	7016270	5.3
	"Arizona"	"04"	"2018"	"2018"	336	7171646	4.7
	"Arizona"	"04"	"2019"	"2019"	323	7278717	4.4
	"Arkansas"	"05"	"1999"	"1999"	Suppressed	2651860	Suppressed
	"Arkansas"	"05"	"2000"	"2000"	Suppressed	2673400	Suppressed
	"Arkansas"	"05"	"2001"	"2001"	14	2691571	Unreliable
	"Arkansas"	"05"	"2002"	"2002"	42	2705927	1.6
	"Arkansas"	"05"	"2003"	"2003"	56	2724816	2.1
	"Arkansas"	"05"	"2004"	"2004"	67	2749686	2.4
	"Arkansas"	"05"	"2005"	"2005"	64	2781097	2.3
	"Arkansas"	"05"	"2006"	"2006"	72	2821761	2.6
	"Arkansas"	"05"	"2007"	"2007"	90	2848650	3.2
	"Arkansas"	"05"	"2008"	"2008"	118	2874554	4.1
	"Arkansas"	"05"	"2009"	"2009"	138	2896843	4.8
	"Arkansas"	"05"	"2010"	"2010"	125	2915918	4.3
	"Arkansas"	"05"	"2011"	"2011"	117	2937979	4.0
	"Arkansas"	"05"	"2012"	"2012"	129	2949131	4.4
	"Arkansas"	"05"	"2013"	"2013"	120	2959373	4.1
	"Arkansas"	"05"	"2014"	"2014"	123	2966369	4.1
	"Arkansas"	"05"	"2015"	"2015"	147	2978204	4.9
	"Arkansas"	"05"	"2016"	"2016"	120	2988248	4.0
	"Arkansas"	"05"	"2017"	"2017"	122	3004279	4.1
	"Arkansas"	"05"	"2018"	"2018"	111	3013825	3.7
	"Arkansas"	"05"	"2019"	"2019"	95	3017804	3.1
	"California"	"06"	"1999"	"1999"	991	33499204	3.0
	"California"	"06"	"2000"	"2000"	671	33871648	2.0
	"California"	"06"	"2001"	"2001"	345	34479458	1.0
	"California"	"06"	"2002"	"2002"	973	34871843	2.8
	"California"	"06"	"2003"	"2003"	897	35253159	2.5
	"California"	"06"	"2004"	"2004"	811	35574576	2.3
	"California"	"06"	"2005"	"2005"	831	35827943	2.3
	"California"	"06"	"2006"	"2006"	873	36021202	2.4
	"California"	"06"	"2007"	"2007"	979	36250311	2.7
	"California"	"06"	"2008"	"2008"	1137	36604337	3.1
	"California"	"06"	"2009"	"2009"	1226	36961229	3.3
	"California"	"06"	"2010"	"2010"	1137	37253956	3.1
	"California"	"06"	"2011"	"2011"	1224	37691912	3.2
	"California"	"06"	"2012"	"2012"	1034	38041430	2.7
	"California"	"06"	"2013"	"2013"	1127	38332521	2.9
	"California"	"06"	"2014"	"2014"	1120	38802500	2.9
	"California"	"06"	"2015"	"2015"	1088	39144818	2.8
	"California"	"06"	"2016"	"2016"	1035	39250017	2.6
	"California"	"06"	"2017"	"2017"	1045	39536653	2.6
	"California"	"06"	"2018"	"2018"	977	39557045	2.5
	"California"	"06"	"2019"	"2019"	980	39512223	2.5
	"Colorado"	"08"	"1999"	"1999"	43	4226018	1.0
	"Colorado"	"08"	"2000"	"2000"	63	4301261	1.5
	"Colorado"	"08"	"2001"	"2001"	100	4425687	2.3
	"Colorado"	"08"	"2002"	"2002"	76	4490406	1.7
	"Colorado"	"08"	"2003"	"2003"	78	4528732	1.7
	"Colorado"	"08"	"2004"	"2004"	84	4575013	1.8
	"Colorado"	"08"	"2005"	"2005"	112	4631888	2.4
	"Colorado"	"08"	"2006"	"2006"	131	4720423	2.8
	"Colorado"	"08"	"2007"	"2007"	195	4803868	4.1
	"Colorado"	"08"	"2008"	"2008"	182	4889730	3.7
	"Colorado"	"08"	"2009"	"2009"	176	4972195	3.5
	"Colorado"	"08"	"2010"	"2010"	150	5029196	3.0
	"Colorado"	"08"	"2011"	"2011"	200	5116796	3.9
	"Colorado"	"08"	"2012"	"2012"	227	5187582	4.4
	"Colorado"	"08"	"2013"	"2013"	225	5268367	4.3
	"Colorado"	"08"	"2014"	"2014"	263	5355866	4.9
	"Colorado"	"08"	"2015"	"2015"	270	5456574	4.9
	"Colorado"	"08"	"2016"	"2016"	223	5540545	4.0
	"Colorado"	"08"	"2017"	"2017"	264	5607154	4.7
	"Colorado"	"08"	"2018"	"2018"	240	5695564	4.2
	"Colorado"	"08"	"2019"	"2019"	258	5758736	4.5
	"Connecticut"	"09"	"1999"	"1999"	12	3386401	Unreliable
	"Connecticut"	"09"	"2000"	"2000"	Suppressed	3405565	Suppressed
	"Connecticut"	"09"	"2001"	"2001"	19	3432835	Unreliable
	"Connecticut"	"09"	"2002"	"2002"	25	3458749	0.7
	"Connecticut"	"09"	"2003"	"2003"	23	3484336	0.7
	"Connecticut"	"09"	"2004"	"2004"	31	3496094	0.9
	"Connecticut"	"09"	"2005"	"2005"	28	3506956	0.8
	"Connecticut"	"09"	"2006"	"2006"	39	3517460	1.1
	"Connecticut"	"09"	"2007"	"2007"	35	3527270	1.0
	"Connecticut"	"09"	"2008"	"2008"	40	3545579	1.1
	"Connecticut"	"09"	"2009"	"2009"	32	3561807	0.9
	"Connecticut"	"09"	"2010"	"2010"	43	3574097	1.2
	"Connecticut"	"09"	"2011"	"2011"	45	3580709	1.3
	"Connecticut"	"09"	"2012"	"2012"	38	3590347	1.1
	"Connecticut"	"09"	"2013"	"2013"	145	3596080	4.0
	"Connecticut"	"09"	"2014"	"2014"	160	3596677	4.4
	"Connecticut"	"09"	"2015"	"2015"	187	3590886	5.2
	"Connecticut"	"09"	"2016"	"2016"	210	3576452	5.9
	"Connecticut"	"09"	"2017"	"2017"	194	3588184	5.4
	"Connecticut"	"09"	"2018"	"2018"	164	3572665	4.6
	"Connecticut"	"09"	"2019"	"2019"	212	3565287	5.9
	"Delaware"	"10"	"1999"	"1999"	Suppressed	774990	Suppressed
	"Delaware"	"10"	"2000"	"2000"	Suppressed	783600	Suppressed
	"Delaware"	"10"	"2001"	"2001"	11	795699	Unreliable
	"Delaware"	"10"	"2002"	"2002"	23	806169	2.9
	"Delaware"	"10"	"2003"	"2003"	16	818003	Unreliable
	"Delaware"	"10"	"2004"	"2004"	15	830803	Unreliable
	"Delaware"	"10"	"2005"	"2005"	12	845150	Unreliable
	"Delaware"	"10"	"2006"	"2006"	16	859268	Unreliable
	"Delaware"	"10"	"2007"	"2007"	15	871749	Unreliable
	"Delaware"	"10"	"2008"	"2008"	31	883874	3.5
	"Delaware"	"10"	"2009"	"2009"	47	891730	5.3
	"Delaware"	"10"	"2010"	"2010"	56	897934	6.2
	"Delaware"	"10"	"2011"	"2011"	65	907135	7.2
	"Delaware"	"10"	"2012"	"2012"	37	917092	4.0
	"Delaware"	"10"	"2013"	"2013"	35	925749	3.8
	"Delaware"	"10"	"2014"	"2014"	38	935614	4.1
	"Delaware"	"10"	"2015"	"2015"	37	945934	3.9
	"Delaware"	"10"	"2016"	"2016"	34	952065	3.6
	"Delaware"	"10"	"2017"	"2017"	67	961939	7.0
	"Delaware"	"10"	"2018"	"2018"	63	967171	6.5
	"Delaware"	"10"	"2019"	"2019"	54	973764	5.5
	"District of Columbia"	"11"	"1999"	"1999"	Suppressed	570213	Suppressed
	"District of Columbia"	"11"	"2000"	"2000"	Suppressed	572059	Suppressed
	"District of Columbia"	"11"	"2001"	"2001"	Suppressed	574504	Suppressed
	"District of Columbia"	"11"	"2002"	"2002"	Suppressed	573158	Suppressed
	"District of Columbia"	"11"	"2003"	"2003"	Suppressed	568502	Suppressed
	"District of Columbia"	"11"	"2004"	"2004"	19	567754	Unreliable
	"District of Columbia"	"11"	"2005"	"2005"	Suppressed	567136	Suppressed
	"District of Columbia"	"11"	"2006"	"2006"	17	570681	Unreliable
	"District of Columbia"	"11"	"2007"	"2007"	Suppressed	574404	Suppressed
	"District of Columbia"	"11"	"2008"	"2008"	Suppressed	580236	Suppressed
	"District of Columbia"	"11"	"2009"	"2009"	Suppressed	592228	Suppressed
	"District of Columbia"	"11"	"2010"	"2010"	Suppressed	601723	Suppressed
	"District of Columbia"	"11"	"2011"	"2011"	12	617996	Unreliable
	"District of Columbia"	"11"	"2012"	"2012"	14	632323	Unreliable
	"District of Columbia"	"11"	"2013"	"2013"	10	646449	Unreliable
	"District of Columbia"	"11"	"2014"	"2014"	20	658893	3.0
	"District of Columbia"	"11"	"2015"	"2015"	22	672228	3.3
	"District of Columbia"	"11"	"2016"	"2016"	54	681170	7.9
	"District of Columbia"	"11"	"2017"	"2017"	39	693972	5.6
	"District of Columbia"	"11"	"2018"	"2018"	32	702455	4.6
	"District of Columbia"	"11"	"2019"	"2019"	24	705749	3.4
	"Florida"	"12"	"1999"	"1999"	163	15759421	1.0
	"Florida"	"12"	"2000"	"2000"	249	15982378	1.6
	"Florida"	"12"	"2001"	"2001"	455	16356966	2.8
	"Florida"	"12"	"2002"	"2002"	427	16689370	2.6
	"Florida"	"12"	"2003"	"2003"	456	17004085	2.7
	"Florida"	"12"	"2004"	"2004"	573	17415318	3.3
	"Florida"	"12"	"2005"	"2005"	518	17842038	2.9
	"Florida"	"12"	"2006"	"2006"	635	18166990	3.5
	"Florida"	"12"	"2007"	"2007"	797	18367842	4.3
	"Florida"	"12"	"2008"	"2008"	883	18527305	4.8
	"Florida"	"12"	"2009"	"2009"	1053	18652644	5.6
	"Florida"	"12"	"2010"	"2010"	1213	18801310	6.5
	"Florida"	"12"	"2011"	"2011"	1106	19057542	5.8
	"Florida"	"12"	"2012"	"2012"	887	19317568	4.6
	"Florida"	"12"	"2013"	"2013"	792	19552860	4.1
	"Florida"	"12"	"2014"	"2014"	725	19893297	3.6
	"Florida"	"12"	"2015"	"2015"	819	20271272	4.0
	"Florida"	"12"	"2016"	"2016"	1054	20612439	5.1
	"Florida"	"12"	"2017"	"2017"	1169	20984400	5.6
	"Florida"	"12"	"2018"	"2018"	1187	21299325	5.6
	"Florida"	"12"	"2019"	"2019"	1125	21477737	5.2
	"Georgia"	"13"	"1999"	"1999"	27	8045965	0.3
	"Georgia"	"13"	"2000"	"2000"	69	8186453	0.8
	"Georgia"	"13"	"2001"	"2001"	95	8377038	1.1
	"Georgia"	"13"	"2002"	"2002"	100	8508256	1.2
	"Georgia"	"13"	"2003"	"2003"	95	8622793	1.1
	"Georgia"	"13"	"2004"	"2004"	109	8769252	1.2
	"Georgia"	"13"	"2005"	"2005"	128	8925922	1.4
	"Georgia"	"13"	"2006"	"2006"	136	9155813	1.5
	"Georgia"	"13"	"2007"	"2007"	145	9349988	1.6
	"Georgia"	"13"	"2008"	"2008"	198	9504843	2.1
	"Georgia"	"13"	"2009"	"2009"	260	9620846	2.7
	"Georgia"	"13"	"2010"	"2010"	317	9687653	3.3
	"Georgia"	"13"	"2011"	"2011"	337	9815210	3.4
	"Georgia"	"13"	"2012"	"2012"	309	9919945	3.1
	"Georgia"	"13"	"2013"	"2013"	316	9992167	3.2
	"Georgia"	"13"	"2014"	"2014"	398	10097343	3.9
	"Georgia"	"13"	"2015"	"2015"	442	10214860	4.3
	"Georgia"	"13"	"2016"	"2016"	469	10310371	4.5
	"Georgia"	"13"	"2017"	"2017"	538	10429379	5.2
	"Georgia"	"13"	"2018"	"2018"	423	10519475	4.0
	"Georgia"	"13"	"2019"	"2019"	391	10617423	3.7
	"Hawaii"	"15"	"1999"	"1999"	25	1210300	2.1
	"Hawaii"	"15"	"2000"	"2000"	25	1211537	2.1
	"Hawaii"	"15"	"2001"	"2001"	28	1225948	2.3
	"Hawaii"	"15"	"2002"	"2002"	28	1239613	2.3
	"Hawaii"	"15"	"2003"	"2003"	26	1251154	2.1
	"Hawaii"	"15"	"2004"	"2004"	35	1273569	2.7
	"Hawaii"	"15"	"2005"	"2005"	42	1292729	3.2
	"Hawaii"	"15"	"2006"	"2006"	34	1309731	2.6
	"Hawaii"	"15"	"2007"	"2007"	51	1315675	3.9
	"Hawaii"	"15"	"2008"	"2008"	38	1332213	2.9
	"Hawaii"	"15"	"2009"	"2009"	37	1346717	2.7
	"Hawaii"	"15"	"2010"	"2010"	43	1360301	3.2
	"Hawaii"	"15"	"2011"	"2011"	48	1374810	3.5
	"Hawaii"	"15"	"2012"	"2012"	37	1392313	2.7
	"Hawaii"	"15"	"2013"	"2013"	40	1404054	2.8
	"Hawaii"	"15"	"2014"	"2014"	35	1419561	2.5
	"Hawaii"	"15"	"2015"	"2015"	38	1431603	2.7
	"Hawaii"	"15"	"2016"	"2016"	47	1428557	3.3
	"Hawaii"	"15"	"2017"	"2017"	35	1427538	2.5
	"Hawaii"	"15"	"2018"	"2018"	28	1420491	2.0
	"Hawaii"	"15"	"2019"	"2019"	24	1415872	1.7
	"Idaho"	"16"	"1999"	"1999"	11	1275674	Unreliable
	"Idaho"	"16"	"2000"	"2000"	17	1293953	Unreliable
	"Idaho"	"16"	"2001"	"2001"	30	1319962	2.3
	"Idaho"	"16"	"2002"	"2002"	25	1340372	1.9
	"Idaho"	"16"	"2003"	"2003"	30	1363380	2.2
	"Idaho"	"16"	"2004"	"2004"	21	1391802	1.5
	"Idaho"	"16"	"2005"	"2005"	27	1428241	1.9
	"Idaho"	"16"	"2006"	"2006"	30	1468669	2.0
	"Idaho"	"16"	"2007"	"2007"	34	1505105	2.3
	"Idaho"	"16"	"2008"	"2008"	48	1534320	3.1
	"Idaho"	"16"	"2009"	"2009"	38	1554439	2.4
	"Idaho"	"16"	"2010"	"2010"	44	1567582	2.8
	"Idaho"	"16"	"2011"	"2011"	46	1584985	2.9
	"Idaho"	"16"	"2012"	"2012"	33	1595728	2.1
	"Idaho"	"16"	"2013"	"2013"	53	1612136	3.3
	"Idaho"	"16"	"2014"	"2014"	44	1634464	2.7
	"Idaho"	"16"	"2015"	"2015"	51	1654930	3.1
	"Idaho"	"16"	"2016"	"2016"	65	1683140	3.9
	"Idaho"	"16"	"2017"	"2017"	59	1716943	3.4
	"Idaho"	"16"	"2018"	"2018"	72	1754208	4.1
	"Idaho"	"16"	"2019"	"2019"	79	1787065	4.4
	"Illinois"	"17"	"1999"	"1999"	46	12359020	0.4
	"Illinois"	"17"	"2000"	"2000"	51	12419293	0.4
	"Illinois"	"17"	"2001"	"2001"	74	12488445	0.6
	"Illinois"	"17"	"2002"	"2002"	89	12525556	0.7
	"Illinois"	"17"	"2003"	"2003"	68	12556006	0.5
	"Illinois"	"17"	"2004"	"2004"	79	12589773	0.6
	"Illinois"	"17"	"2005"	"2005"	109	12609903	0.9
	"Illinois"	"17"	"2006"	"2006"	111	12643955	0.9
	"Illinois"	"17"	"2007"	"2007"	151	12695866	1.2
	"Illinois"	"17"	"2008"	"2008"	191	12747038	1.5
	"Illinois"	"17"	"2009"	"2009"	204	12796778	1.6
	"Illinois"	"17"	"2010"	"2010"	183	12830632	1.4
	"Illinois"	"17"	"2011"	"2011"	174	12869257	1.4
	"Illinois"	"17"	"2012"	"2012"	188	12875255	1.5
	"Illinois"	"17"	"2013"	"2013"	210	12882135	1.6
	"Illinois"	"17"	"2014"	"2014"	269	12880580	2.1
	"Illinois"	"17"	"2015"	"2015"	296	12859995	2.3
	"Illinois"	"17"	"2016"	"2016"	399	12801539	3.1
	"Illinois"	"17"	"2017"	"2017"	513	12802023	4.0
	"Illinois"	"17"	"2018"	"2018"	423	12741080	3.3
