"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	11	4430141	Unreliable
	"Alabama"	"01"	"2000"	"2000"	13	4447100	Unreliable
	"Alabama"	"01"	"2001"	"2001"	Suppressed	4467634	Suppressed
	"Alabama"	"01"	"2002"	"2002"	Suppressed	4480089	Suppressed
	"Alabama"	"01"	"2003"	"2003"	Suppressed	4503491	Suppressed
	"Alabama"	"01"	"2004"	"2004"	13	4530729	Unreliable
	"Alabama"	"01"	"2005"	"2005"	12	4569805	Unreliable
	"Alabama"	"01"	"2006"	"2006"	25	4628981	0.5
	"Alabama"	"01"	"2007"	"2007"	21	4672840	0.4
	"Alabama"	"01"	"2008"	"2008"	19	4718206	Unreliable
	"Alabama"	"01"	"2009"	"2009"	31	4757938	0.7
	"Alabama"	"01"	"2010"	"2010"	37	4779736	0.8
	"Alabama"	"01"	"2011"	"2011"	21	4802740	0.4
	"Alabama"	"01"	"2012"	"2012"	17	4822023	Unreliable
	"Alabama"	"01"	"2013"	"2013"	31	4833722	0.6
	"Alabama"	"01"	"2014"	"2014"	50	4849377	1.0
	"Alabama"	"01"	"2015"	"2015"	73	4858979	1.5
	"Alabama"	"01"	"2016"	"2016"	158	4863300	3.2
	"Alabama"	"01"	"2017"	"2017"	203	4874747	4.2
	"Alabama"	"01"	"2018"	"2018"	150	4887871	3.1
	"Alabama"	"01"	"2019"	"2019"	215	4903185	4.4
	"Alaska"	"02"	"1999"	"1999"	Suppressed	624779	Suppressed
	"Alaska"	"02"	"2000"	"2000"	Suppressed	626932	Suppressed
	"Alaska"	"02"	"2001"	"2001"	Suppressed	633714	Suppressed
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"2003"	"2003"	Suppressed	648414	Suppressed
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"2005"	"2005"	Suppressed	666946	Suppressed
	"Alaska"	"02"	"2006"	"2006"	Suppressed	675302	Suppressed
	"Alaska"	"02"	"2007"	"2007"	Suppressed	680300	Suppressed
	"Alaska"	"02"	"2008"	"2008"	14	687455	Unreliable
