"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	Suppressed	4430141	Suppressed
	"Alabama"	"01"	"2000"	"2000"	Suppressed	4447100	Suppressed
	"Alabama"	"01"	"2001"	"2001"	Suppressed	4467634	Suppressed
	"Alabama"	"01"	"2002"	"2002"	Suppressed	4480089	Suppressed
	"Alabama"	"01"	"2003"	"2003"	Suppressed	4503491	Suppressed
	"Alabama"	"01"	"2004"	"2004"	11	4530729	Unreliable
	"Alabama"	"01"	"2005"	"2005"	12	4569805	Unreliable
	"Alabama"	"01"	"2006"	"2006"	Suppressed	4628981	Suppressed
	"Alabama"	"01"	"2007"	"2007"	Suppressed	4672840	Suppressed
	"Alabama"	"01"	"2008"	"2008"	14	4718206	Unreliable
	"Alabama"	"01"	"2009"	"2009"	Suppressed	4757938	Suppressed
	"Alabama"	"01"	"2010"	"2010"	26	4779736	0.5
	"Alabama"	"01"	"2011"	"2011"	14	4802740	Unreliable
	"Alabama"	"01"	"2012"	"2012"	18	4822023	Unreliable
	"Alabama"	"01"	"2013"	"2013"	26	4833722	0.5
	"Alabama"	"01"	"2014"	"2014"	32	4849377	0.7
	"Alabama"	"01"	"2015"	"2015"	46	4858979	0.9
	"Alabama"	"01"	"2016"	"2016"	66	4863300	1.4
	"Alabama"	"01"	"2017"	"2017"	128	4874747	2.6
	"Alabama"	"01"	"2018"	"2018"	170	4887871	3.5
	"Alabama"	"01"	"2019"	"2019"	246	4903185	5.0
	"Alaska"	"02"	"1999"	"1999"	Suppressed	624779	Suppressed
	"Alaska"	"02"	"2000"	"2000"	Suppressed	626932	Suppressed
	"Alaska"	"02"	"2001"	"2001"	Suppressed	633714	Suppressed
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"2003"	"2003"	Suppressed	648414	Suppressed
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"2005"	"2005"	Suppressed	666946	Suppressed
	"Alaska"	"02"	"2006"	"2006"	Suppressed	675302	Suppressed
	"Alaska"	"02"	"2007"	"2007"	Suppressed	680300	Suppressed
	"Alaska"	"02"	"2008"	"2008"	Suppressed	687455	Suppressed
	"Alaska"	"02"	"2009"	"2009"	18	698895	Unreliable
	"Alaska"	"02"	"2010"	"2010"	11	710231	Unreliable
	"Alaska"	"02"	"2011"	"2011"	20	722718	2.8
	"Alaska"	"02"	"2012"	"2012"	25	731449	3.4
	"Alaska"	"02"	"2013"	"2013"	22	735132	3.0
	"Alaska"	"02"	"2014"	"2014"	31	736732	4.2
	"Alaska"	"02"	"2015"	"2015"	34	738432	4.6
	"Alaska"	"02"	"2016"	"2016"	58	741894	7.8
	"Alaska"	"02"	"2017"	"2017"	82	739795	11.1
	"Alaska"	"02"	"2018"	"2018"	72	737438	9.8
	"Alaska"	"02"	"2019"	"2019"	76	731545	10.4
	"Arizona"	"04"	"1999"	"1999"	32	5023823	0.6
	"Arizona"	"04"	"2000"	"2000"	32	5130632	0.6
	"Arizona"	"04"	"2001"	"2001"	57	5273477	1.1
	"Arizona"	"04"	"2002"	"2002"	61	5396255	1.1
	"Arizona"	"04"	"2003"	"2003"	79	5510364	1.4
	"Arizona"	"04"	"2004"	"2004"	90	5652404	1.6
	"Arizona"	"04"	"2005"	"2005"	114	5839077	2.0
	"Arizona"	"04"	"2006"	"2006"	132	6029141	2.2
	"Arizona"	"04"	"2007"	"2007"	140	6167681	2.3
	"Arizona"	"04"	"2008"	"2008"	94	6280362	1.5
	"Arizona"	"04"	"2009"	"2009"	119	6343154	1.9
	"Arizona"	"04"	"2010"	"2010"	142	6392017	2.2
	"Arizona"	"04"	"2011"	"2011"	166	6482505	2.6
	"Arizona"	"04"	"2012"	"2012"	168	6553255	2.6
	"Arizona"	"04"	"2013"	"2013"	228	6626624	3.4
	"Arizona"	"04"	"2014"	"2014"	260	6731484	3.9
	"Arizona"	"04"	"2015"	"2015"	395	6828065	5.8
	"Arizona"	"04"	"2016"	"2016"	535	6931071	7.7
	"Arizona"	"04"	"2017"	"2017"	663	7016270	9.4
	"Arizona"	"04"	"2018"	"2018"	706	7171646	9.8
	"Arizona"	"04"	"2019"	"2019"	856	7278717	11.8
	"Arkansas"	"05"	"1999"	"1999"	19	2651860	Unreliable
	"Arkansas"	"05"	"2000"	"2000"	19	2673400	Unreliable
	"Arkansas"	"05"	"2001"	"2001"	Suppressed	2691571	Suppressed
	"Arkansas"	"05"	"2002"	"2002"	18	2705927	Unreliable
	"Arkansas"	"05"	"2003"	"2003"	26	2724816	1.0
	"Arkansas"	"05"	"2004"	"2004"	24	2749686	0.9
	"Arkansas"	"05"	"2005"	"2005"	34	2781097	1.2
	"Arkansas"	"05"	"2006"	"2006"	30	2821761	1.1
	"Arkansas"	"05"	"2007"	"2007"	30	2848650	1.1
	"Arkansas"	"05"	"2008"	"2008"	31	2874554	1.1
